condition_code,condition_name_en,condition_name_vi,condition_group,nutrient_code,nutrient_name_en,nutrient_name_vi,rule_type,rule_direction,priority,threshold_value,threshold_unit,threshold_basis,applies_when,recommendation_en,recommendation_vi,food_filter_hint,clinical_caution_en,clinical_caution_vi,source_name,source_url,evidence_level,rule_id,source_accessed_at,row_hash
hypertension,Hypertension,Cao huyết áp,cardiovascular,sodium,Sodium,Natri,limit,lower,high,2300.0,mg/day,per_day,high_blood_pressure,Limit sodium intake to under 2300 mg/day (ideal limit 1500 mg/day for most adults).,Giới hạn lượng natri nạp vào dưới 2300 mg/ngày (mức lý tưởng là 1500 mg/ngày cho hầu hết người trưởng thành).,penalize_high_sodium,General guidance for hypertension. Individual targets may vary. CKD or heart failure patients must consult a doctor.,Hướng dẫn chung cho bệnh nhân cao huyết áp. Mục tiêu cá nhân có thể thay đổi. Bệnh nhân suy thận hoặc suy tim phải hỏi ý kiến bác sĩ.,American Heart Association,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/shaking-the-salt-habit-to-lower-high-blood-pressure,professional_association_guidance,hypertension_sodium_limit,2026-07-04T09:28:54Z,c32263b60ee33ac06126d150b2c22be1
hypertension,Hypertension,Cao huyết áp,cardiovascular,saturated_fat,Saturated Fat,Chất béo bão hòa,limit,lower,medium,10.0,percent_calories,percent_of_daily_calories,general_adult_guidance,Limit saturated fat to less than 10% of daily energy intake.,Giới hạn chất béo bão hòa dưới 10% tổng năng lượng nạp vào hàng ngày.,penalize_saturated_fat,Use for general MVP filtering. Confirm target calories with a dietitian.,Sử dụng cho bộ lọc MVP chung. Xác nhận lượng calo mục tiêu với chuyên gia dinh dưỡng.,WHO Guidelines,https://www.who.int/news-room/fact-sheets/detail/healthy-diet,official_guideline,hypertension_saturated_fat_limit,2026-07-04T09:28:54Z,780903531962264adf63156a15a1deb1
hypertension,Hypertension,Cao huyết áp,cardiovascular,potassium,Potassium,Kali,prioritize,higher,medium,3500.0,mg/day,per_day,high_blood_pressure,Prioritize potassium-rich foods to help lower blood pressure in adults with high blood pressure.,Ưu tiên các thực phẩm giàu kali để giúp hạ huyết áp ở người trưởng thành bị cao huyết áp.,prioritize_potassium,Patients with chronic kidney disease (CKD) or taking potassium-sparing medications must NOT increase potassium without doctor guidance.,Bệnh nhân suy thận mạn (CKD) hoặc đang dùng thuốc giữ kali KHÔNG được tăng lượng kali mà không có hướng dẫn của bác sĩ.,WHO Potassium Intake Guidelines,https://www.who.int/publications/i/item/9789241504829,official_guideline,hypertension_potassium_prioritize,2026-07-04T09:28:54Z,444be9a44507db6bceb694f24f834f6a
hypertension,Hypertension,Cao huyết áp,cardiovascular,fiber,Dietary Fiber,Chất xơ,prioritize,higher,medium,25.0,g/day,per_day,high_blood_pressure,"Prioritize high-fiber foods such as whole grains, vegetables, and fruits as part of a DASH-style diet.","Ưu tiên thực phẩm giàu chất xơ như ngũ cốc nguyên hạt, rau quả như một phần của chế độ ăn DASH.",prioritize_high_fiber,Increase fiber intake gradually with adequate fluid intake to avoid gastrointestinal discomfort.,Tăng lượng chất xơ từ từ cùng với việc uống đủ nước để tránh khó chịu đường tiêu hóa.,NIH NHLBI DASH Eating Plan,https://www.nhlbi.nih.gov/education/dash-eating-plan,official_public_health_page,hypertension_fiber_prioritize,2026-07-04T09:28:54Z,9a3ccd81d04c2ddf14a5afde2ab4ab28
hypertension,Hypertension,Cao huyết áp,cardiovascular,magnesium,Magnesium,Magiê,prioritize,higher,medium,310.0,mg/day,per_day,high_blood_pressure,Ensure adequate magnesium intake (310-420 mg/day) to support healthy vascular function and blood pressure control.,Đảm bảo bổ sung đủ magiê (310-420 mg/ngày) để hỗ trợ chức năng mạch máu và kiểm soát huyết áp.,prioritize_magnesium,Excessive magnesium from supplements can cause adverse effects; prefer whole food dietary sources.,Thừa magiê từ các thực phẩm bổ sung có thể gây tác dụng phụ; ưu tiên nguồn thực phẩm tự nhiên.,NIH Office of Dietary Supplements,https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/,official_public_health_page,hypertension_magnesium_prioritize,2026-07-04T09:28:54Z,98d32ae3bf5996cce1d4d1e364e118f7
hypertension,Hypertension,Cao huyết áp,cardiovascular,calcium,Calcium,Canxi,prioritize,higher,low,1000.0,mg/day,per_day,high_blood_pressure,Maintain standard calcium intake (1000 mg/day) to support DASH eating plan benefits for blood pressure.,Duy trì lượng canxi tiêu chuẩn (1000 mg/ngày) để hỗ trợ lợi ích hạ huyết áp của chế độ ăn DASH.,prioritize_calcium,Consult a physician if you have hypercalcemia or kidney stones before supplementing.,Tham khảo ý kiến bác sĩ nếu bị tăng canxi máu hoặc sỏi thận trước khi bổ sung thêm.,NIH NHLBI DASH Diet Guidance,https://www.nhlbi.nih.gov/education/dash-eating-plan,official_public_health_page,hypertension_calcium_prioritize,2026-07-04T09:28:54Z,aa891de835da0814a84167b4988d4f9d
hyperlipidemia,Hyperlipidemia,Rối loạn mỡ máu,cardiovascular,saturated_fat,Saturated Fat,Chất béo bão hòa,limit,lower,high,6.0,percent_calories,percent_of_daily_calories,high_blood_pressure,Limit saturated fat to 5% to 6% of daily calories for individuals needing to lower LDL cholesterol.,Giới hạn chất béo bão hòa ở mức 5% đến 6% tổng lượng calo hàng ngày cho người cần giảm cholesterol LDL.,penalize_saturated_fat,Consult a physician or dietitian to calculate daily calorie targets for this limit.,Tham khảo ý kiến bác sĩ hoặc chuyên gia dinh dưỡng để tính toán lượng calo mục tiêu hàng ngày.,American Heart Association,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/fats/saturated-fats,professional_association_guidance,hyperlipidemia_saturated_fat_limit,2026-07-04T09:28:54Z,3ec40678556ce40911db8bd0ee8d2726
hyperlipidemia,Hyperlipidemia,Rối loạn mỡ máu,cardiovascular,trans_fat,Trans Fat,Chất béo chuyển hóa,avoid,avoid,high,0.0,g/day,per_day,general_adult_guidance,Completely avoid trans fats and hydrogenated oils to protect blood vessels.,Tránh hoàn toàn chất béo chuyển hóa và dầu hydro hóa để bảo vệ mạch máu.,avoid_trans_fat,Read food labels carefully; trans fats significantly increase heart disease risk.,Đọc kỹ nhãn thực phẩm; chất béo chuyển hóa làm tăng đáng kể nguy cơ bệnh tim.,WHO Guidelines on Fats,https://www.who.int/news-room/fact-sheets/detail/fats-and-fatty-acids,official_guideline,hyperlipidemia_trans_fat_avoid,2026-07-04T09:28:54Z,5e1a38bd6726da6f7b2c21300c6aee5d
hyperlipidemia,Hyperlipidemia,Rối loạn mỡ máu,cardiovascular,fiber,Dietary Fiber,Chất xơ,prioritize,higher,medium,25.0,g/day,per_day,general_adult_guidance,Ensure adequate soluble fiber intake to assist in lowering blood cholesterol levels.,Đảm bảo bổ sung đủ chất xơ hòa tan để hỗ trợ giảm nồng độ cholesterol trong máu.,prioritize_high_fiber,Soluble fiber binds to bile acids in the gut to reduce cholesterol absorption.,Chất xơ hòa tan liên kết với axit mật trong ruột để giảm hấp thụ cholesterol.,American Heart Association Diet Recommendations,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/aha-diet-and-lifestyle-recommendations,professional_association_guidance,hyperlipidemia_fiber_prioritize,2026-07-04T09:28:54Z,e4b1087c8a1a1c98a595a7211f1af943
hyperlipidemia,Hyperlipidemia,Rối loạn mỡ máu,cardiovascular,cholesterol,Dietary Cholesterol,Cholesterol chế độ ăn,monitor,monitor,low,,individualized,individualized,blood_test_dependent,"Monitor dietary cholesterol intake, especially if you have hypercholesterolemia or diabetes.","Theo dõi lượng cholesterol nạp vào, đặc biệt nếu bạn bị tăng cholesterol máu hoặc tiểu đường.",monitor_cholesterol,"General guidance. While saturated fats impact blood lipids more, dietary cholesterol should still be monitored in hyper-responders.","Hướng dẫn chung. Dù chất béo bão hòa ảnh hưởng nhiều hơn đến lipid máu, cholesterol ăn vào vẫn nên theo dõi ở người nhạy cảm.",AHA/ACC Dietary Guidelines,https://www.ahajournals.org/doi/10.1161/CIR.0000000000000732,professional_association_guidance,hyperlipidemia_cholesterol_monitor,2026-07-04T09:28:54Z,62e0d3853b8aa4f3757a73940b080b01
