rule_id,condition_code,condition_name_vi,condition_name_en,nutrient_code,evaluation_field,rule_type,rule_direction,priority,threshold_value,threshold_unit,threshold_basis,applies_when,recommendation_vi,clinical_caution_vi,source_name,source_url
anemia_iron_deficiency_iron_prioritize,anemia_iron_deficiency,Thiếu máu thiếu sắt,Iron Deficiency Anemia,iron,iron_mg,prioritize,higher,high,18.0,mg/day,per_day,blood_test_dependent,Ưu tiên thực phẩm giàu sắt (sắt heme và phi-heme) cùng với nguồn vitamin C để tăng hấp thu.,Thiếu máu thiếu sắt phải được chẩn đoán qua xét nghiệm máu. Việc bổ sung sắt liều cao phải theo chỉ định bác sĩ.,NIH Office of Dietary Supplements,https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/
cardiovascular_risk_trans_fat_avoid,cardiovascular_risk,Nguy cơ tim mạch,Cardiovascular Risk,trans_fat,trans_fat_g,avoid,avoid,high,0.0,g/day,per_day,general_adult_guidance,Loại bỏ dầu hydro hóa một phần và chất béo chuyển hóa khỏi chế độ ăn để bảo vệ mạch máu.,"Chất béo bão hòa là yếu tố nguy cơ, nhưng chất béo chuyển hóa công nghiệp là chất độc đối với tim mạch.",WHO REPLACE Action Package,https://www.who.int/teams/nutrition-and-food-safety/replace-trans-fat
chronic_kidney_disease_phosphorus_individualize,chronic_kidney_disease,Suy thận mạn,Chronic Kidney Disease,phosphorus,phosphorus_mg,individualize,individualized,high,,individualized,individualized,ckd_stage_dependent,Theo dõi lượng phốt pho và hạn chế chất phụ gia phốt phát khi bệnh tiến triển.,Kiểm soát phốt pho mang tính cá nhân hóa cao. Tăng phốt pho máu làm yếu xương và hỏng mạch máu.,National Kidney Foundation Nutrition,https://www.kidney.org/atoz/content/phosphorus
chronic_kidney_disease_potassium_individualize,chronic_kidney_disease,Suy thận mạn,Chronic Kidney Disease,potassium,potassium_mg,individualize,individualized,high,,individualized,individualized,ckd_stage_dependent,Theo dõi và điều chỉnh lượng kali dựa trên kết quả xét nghiệm và hướng dẫn lâm sàng.,"Không có giới hạn chung. Tăng kali máu gây nguy hiểm tính mạng, nhưng chỉ hạn chế nếu nồng độ kali trong máu tăng cao.",National Kidney Foundation Nutrition,https://www.kidney.org/atoz/content/potassium
chronic_kidney_disease_protein_individualize,chronic_kidney_disease,Suy thận mạn,Chronic Kidney Disease,protein,protein_g,individualize,individualized,high,,individualized,individualized,ckd_stage_dependent,Cá nhân hóa lượng đạm để tránh quá tải cho thận (giai đoạn chưa lọc máu) hoặc bù đắp lượng đạm mất đi khi lọc máu.,Nhu cầu đạm khác nhau hoàn toàn giữa giai đoạn tiền lọc máu (cần hạn chế) và lọc máu (cần đạm cao).,National Institute of Diabetes and Digestive and Kidney Diseases,https://www.niddk.nih.gov/health-information/kidney-disease/chronic-kidney-disease-ckd/eating-right
chronic_kidney_disease_sodium_limit,chronic_kidney_disease,Suy thận mạn,Chronic Kidney Disease,sodium,sodium_mg,limit,lower,high,2300.0,mg/day,per_day,ckd_stage_dependent,Giới hạn natri dưới 2300 mg/ngày để kiểm soát huyết áp và tình trạng phù nề.,Hướng dẫn chung cho bệnh nhân suy thận mạn. Theo dõi huyết áp và cân bằng dịch.,National Kidney Foundation,https://www.kidney.org/nutrition/Kidney-Disease-Stages-1-4-Nutrition
chronic_kidney_disease_water_individualize,chronic_kidney_disease,Suy thận mạn,Chronic Kidney Disease,water,water_g,individualize,individualized,high,,individualized,individualized,ckd_stage_dependent,Theo dõi tổng lượng nước uống và hạn chế khi có tình trạng phù hoặc yêu cầu lọc máu.,Mục tiêu uống nước tùy thuộc nghiêm ngặt vào giai đoạn bệnh. Chỉ hạn chế khi bác sĩ thận khuyên dùng.,NIDDK Kidney Disease Information,https://www.niddk.nih.gov/health-information/kidney-disease/chronic-kidney-disease-ckd/eating-right
chronic_kidney_disease_calcium_individualize,chronic_kidney_disease,Suy thận mạn,Chronic Kidney Disease,calcium,calcium_mg,individualize,individualized,medium,,individualized,individualized,ckd_stage_dependent,Theo dõi lượng canxi nạp vào để tránh tình trạng vôi hóa mạch máu hoặc rối loạn xương khoáng chất.,Bệnh thận làm thay đổi sự cân bằng canxi-phốt pho. Mục tiêu canxi phải được cá nhân hóa.,National Kidney Foundation,https://www.kidney.org/nutrition/Kidney-Disease-Stages-1-4-Nutrition
constipation_fiber_prioritize,constipation,Táo bón,Constipation,fiber,fiber_g,prioritize,higher,high,25.0,g/day,per_day,general_adult_guidance,Tăng lượng chất xơ trong khẩu phần ăn để giúp phân mềm và xốp hơn.,Chất xơ phải đi kèm với uống đủ nước để ngăn táo bón nặng hơn.,NIDDK Constipation Diet Guide,https://www.niddk.nih.gov/health-information/digestive-diseases/constipation/eating-diet-nutrition
constipation_water_prioritize,constipation,Táo bón,Constipation,water,water_g,prioritize,higher,high,2000.0,ml/day,per_day,general_adult_guidance,Đảm bảo uống ít nhất 2.0 lít nước mỗi ngày để giữ ẩm cho phân và hỗ trợ nhu động ruột.,"Nếu bạn mắc các bệnh hạn chế dịch (suy tim/thận), hãy hỏi ý kiến bác sĩ trước.",NIDDK Constipation Nutrition,https://www.niddk.nih.gov/health-information/digestive-diseases/constipation/eating-diet-nutrition
diabetes_type_1_carbohydrate_monitor,diabetes_type_1,Tiểu đường type 1,Type 1 Diabetes,carbohydrate,carb_g,monitor,monitor,high,,individualized,individualized,diabetes_meal_planning,Theo dõi chính xác lượng carbohydrate nạp vào để phục vụ tính toán tỷ lệ insulin-to-carb.,Theo dõi carbohydrate phải phối hợp trực tiếp với liệu pháp insulin. KHÔNG tránh hoàn toàn carbohydrate.,ADA Standards of Care - Diabetes Nutrition,https://diabetesjournals.org/care/article/46/Supplement_1/S49/148043/
diabetes_type_2_carbohydrate_monitor,diabetes_type_2,Tiểu đường type 2,Type 2 Diabetes,carbohydrate,carb_g,monitor,monitor,high,,individualized,individualized,diabetes_meal_planning,Theo dõi tổng lượng carbohydrate nạp vào và phân bổ đều trong ngày. Ưu tiên chất xơ và tinh bột hấp thu chậm.,KHÔNG tránh hoàn toàn carbohydrate. Hãy trao đổi với chuyên gia nội tiết để xác định lượng carbs phù hợp cho từng bữa ăn.,American Diabetes Association,https://professional.diabetes.org/consensus-statements/nutrition-therapy-adults-diabetes-or-prediabetes
diabetes_type_2_fiber_prioritize,diabetes_type_2,Tiểu đường type 2,Type 2 Diabetes,fiber,fiber_g,prioritize,higher,high,25.0,g/day,per_day,diabetes_meal_planning,Ưu tiên thực phẩm giàu chất xơ để cải thiện phản hồi đường huyết và độ nhạy insulin.,AHA/ADA khuyến nghị ít nhất 14g chất xơ cho mỗi 1000 kcal.,ADA Standards of Care,https://professional.diabetes.org/consensus-statements/nutrition-therapy-adults-diabetes-or-prediabetes
diabetes_type_2_calories_monitor,diabetes_type_2,Tiểu đường type 2,Type 2 Diabetes,calories,kcal_per_100g,monitor,monitor,medium,,kcal/day,individualized,weight_loss_goal,Theo dõi calo để hỗ trợ kiểm soát cân nặng. Giảm 5% cân nặng giúp cải thiện kiểm soát đường huyết.,"Mục tiêu calo phải hỗ trợ giảm cân từ từ, đều đặn, không giảm cân cấp tốc.",ADA Weight Management Statement,https://professional.diabetes.org/consensus-statements/nutrition-therapy-adults-diabetes-or-prediabetes
diabetes_type_2_saturated_fat_limit,diabetes_type_2,Tiểu đường type 2,Type 2 Diabetes,saturated_fat,saturated_fat_g,limit,lower,medium,10.0,percent_calories,percent_of_daily_calories,diabetes_meal_planning,Giới hạn chất béo bão hòa dưới 10% năng lượng để giảm nguy cơ tim mạch ở bệnh nhân tiểu đường.,Thay chất béo bão hòa bằng béo chưa bão hòa đơn/đa giúp cải thiện bộ mỡ máu.,ADA Saturated Fat Advice,https://professional.diabetes.org/consensus-statements/nutrition-therapy-adults-diabetes-or-prediabetes
elderly_nutrition_risk_protein_prioritize,elderly_nutrition_risk,Nguy cơ dinh dưỡng ở người cao tuổi,Elderly Nutrition Risk,protein,protein_g,prioritize,higher,high,1.0,g/kg/day,individualized,general_adult_guidance,Ưu tiên đạm chất lượng cao (1.0 - 1.2 g/kg cân nặng) để ngừa suy giảm cơ bắp ở người lớn tuổi.,Suy giảm cơ bắp là một nguy cơ lớn. KHÔNG áp dụng đạm cao nếu người dùng bị bệnh thận mạn tính.,NHS Elderly Eating Guidance,https://www.nhs.uk/live-well/eat-well/
elderly_nutrition_risk_water_prioritize,elderly_nutrition_risk,Nguy cơ dinh dưỡng ở người cao tuổi,Elderly Nutrition Risk,water,water_g,prioritize,higher,high,2000.0,ml/day,per_day,general_adult_guidance,"Ưu tiên uống nước đều đặn. Cảm giác khát giảm dần theo tuổi tác, làm tăng nguy cơ mất nước.","Nếu có hạn chế về tim thận, hãy hỏi ý kiến bác sĩ trước khi tăng nước.",NHS Elderly Care,https://www.nhs.uk/live-well/eat-well/
elderly_nutrition_risk_calcium_prioritize,elderly_nutrition_risk,Nguy cơ dinh dưỡng ở người cao tuổi,Elderly Nutrition Risk,calcium,calcium_mg,prioritize,higher,medium,1200.0,mg/day,per_day,general_adult_guidance,Đảm bảo lượng canxi 1200 mg/ngày cho người cao tuổi để ngăn loãng xương tiến triển.,Tổng canxi từ thực phẩm và viên uống không nên vượt quá giới hạn tối đa.,NIH Office of Dietary Supplements,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/
elderly_nutrition_risk_fiber_prioritize,elderly_nutrition_risk,Nguy cơ dinh dưỡng ở người cao tuổi,Elderly Nutrition Risk,fiber,fiber_g,prioritize,higher,medium,25.0,g/day,per_day,general_adult_guidance,Ưu tiên thực phẩm giàu chất xơ để hỗ trợ sức khỏe đại tràng và ngừa táo bón do tuổi tác.,Đảm bảo uống đủ nước đi kèm để hỗ trợ tiêu hóa chất xơ.,NHS Elderly Nutrition,https://www.nhs.uk/live-well/eat-well/
fatty_liver_nafld_saturated_fat_limit,fatty_liver_nafld,Gan nhiễm mỡ không do rượu,Non-alcoholic Fatty Liver Disease,saturated_fat,saturated_fat_g,limit,lower,medium,10.0,percent_calories,percent_of_daily_calories,general_adult_guidance,"Giới hạn chất béo bão hòa dưới 10% năng lượng, thay bằng chất béo chưa bão hòa đa (omega-3).",Gan nhiễm mỡ cần quản lý mỡ máu toàn diện để tránh viêm gan.,AASLD Guidelines,https://www.aasld.org/practice-guidelines
general_healthy_adult_trans_fat_avoid,general_healthy_adult,Người lớn khỏe mạnh bình thường,General Healthy Adult,trans_fat,trans_fat_g,avoid,avoid,high,0.0,g/day,per_day,general_adult_guidance,Tránh chất béo chuyển hóa nhân tạo. Tổng chất béo chuyển hóa nên dưới 1% năng lượng hàng ngày.,Tránh bơ thực vật hydro hóa và chất béo chiên hydro hóa một phần.,WHO Fats Recommendation,https://www.who.int/news-room/fact-sheets/detail/healthy-diet
