activity_id,source_compendium,category_name_vi,category_name_en,description_vi,description_en,met_value,met_type,baseline_value,baseline_unit,intensity_level,suitable_for_beginner,suitable_for_elderly,suitable_for_wheelchair_user,source_url
adult_01003,adult,đạp xe,Bicycling,"đạp xe, mountain, lên dốc, mạnh","Bicycling, mountain, uphill, vigorous",14.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01004,adult,đạp xe,Bicycling,"đạp xe, mountain, competitive racing","Bicycling, mountain, competitive racing",16.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01008,adult,đạp xe,Bicycling,"đạp xe, BMX","Bicycling, BMX",8.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01009,adult,đạp xe,Bicycling,"đạp xe, mountain, chung","Bicycling, mountain, general",8.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01010,adult,đạp xe,Bicycling,"đạp xe, <10 mph, leisure, to work hoặc cho pleasure (Taylor Code 115)","Bicycling, <10 mph, leisure, to work or for pleasure (Taylor Code 115)",4.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01011,adult,đạp xe,Bicycling,"đạp xe, to/from work, self selected tốc độ","Bicycling, to/from work, self selected pace",6.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01013,adult,đạp xe,Bicycling,"đạp xe, on dirt hoặc farm road, vừa tốc độ","Bicycling, on dirt or farm road, moderate pace",5.8,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01014,adult,đạp xe,Bicycling,"đạp xe, chung","Bicycling, general",7.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01015,adult,đạp xe,Bicycling,"đạp xe, self-selected dễ dàng tốc độ","Bicycling, self-selected easy pace",4.3,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01016,adult,đạp xe,Bicycling,"đạp xe, self-selected vừa tốc độ","Bicycling, self-selected moderate pace",7.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01017,adult,đạp xe,Bicycling,"đạp xe, self-selected mạnh tốc độ","Bicycling, self-selected vigorous pace",9.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
