food_id,canonical_food_id,source_name,source_food_id,source_priority,name_vi,name_en,display_name,category_vi,category_en,item_type,processing_level,is_core_food,is_branded,brand_name,recommendation_priority,waste_percent,water_g,kcal_per_100g,protein_g,fat_g,carb_g,fiber_g,sugar_g,ash_g,sodium_mg,potassium_mg,phosphorus_mg,calcium_mg,iron_mg,magnesium_mg,zinc_mg,cholesterol_mg,saturated_fat_g,trans_fat_g,purine_mg,preferred_source,needs_manual_review,review_reason,search_text_vi,search_text_en,fallback_source_name,fallback_source_food_id,fallback_reason,nutrient_source_note
FOOD000001,CANON000001,VTN_FCT_2007,10001,1,Sữa bò tươi,"Milk cow, fresh (fluid)",Sữa bò tươi,Sữa và sản phẩm chế biến,Milk and milk products,raw_ingredient,minimally_processed,True,False,,high,0.0,86.2,74.0,3.9,4.4,4.8,0.0,5.26,0.7,380.0,143.0,95.0,120.0,0.1,16.0,0.4,42.0,,,,VTN_FCT_2007,False,,Tên: Sữa bò tươi. Nhóm: Sữa và sản phẩm chế biến. Mã: 10001.,"Name: Milk cow, fresh (fluid). Category: Milk and milk products. Code: 10001.",,,,
FOOD000002,CANON000002,VTN_FCT_2007,10002,1,Sữa dê tươi,Magiê (Magnesium) mg 14 3 TS acid béo không no nhiều nối đôi g 0.150 3,Sữa dê tươi,Sữa và sản phẩm chế biến,Milk and milk products,raw_ingredient,minimally_processed,True,False,,high,0.0,87.2,69.0,3.5,4.1,4.5,0.0,4.45,0.7,50.0,204.0,126.0,147.0,0.1,14.0,0.3,21.0,,,,VTN_FCT_2007,False,,Tên: Sữa dê tươi. Nhóm: Sữa và sản phẩm chế biến. Mã: 10002.,Name: Magiê (Magnesium) mg 14 3 TS acid béo không no nhiều nối đôi g 0.150 3. Category: Milk and milk products. Code: 10002.,,,,
FOOD000003,CANON000003,VTN_FCT_2007,10003,1,Sữa mÑ (sữa người),"Breast milk (Human milk, whole).",Sữa mÑ (sữa người),Sữa và sản phẩm chế biến,Milk and milk products,raw_ingredient,minimally_processed,True,False,,high,0.0,88.3,61.0,1.5,3.0,7.0,0.0,6.89,0.2,15.0,41.0,15.0,34.0,0.1,2.0,0.4,14.0,,,,VTN_FCT_2007,False,,Tên: Sữa mÑ (sữa người). Nhóm: Sữa và sản phẩm chế biến. Mã: 10003.,"Name: Breast milk (Human milk, whole).. Category: Milk and milk products. Code: 10003.",,,,
FOOD000004,CANON000004,VTN_FCT_2007,10004,1,Sữa chua (tử sữa bò),Magiê (Magnesium) mg 12 3 TS acid béo không no nhiều nối đôi g 0.090 3,Sữa chua (tử sữa bò),Sữa và sản phẩm chế biến,Milk and milk products,raw_ingredient,minimally_processed,True,False,,high,0.0,88.7,61.0,3.3,3.7,3.6,0.0,4.66,0.7,46.0,155.0,95.0,120.0,0.1,12.0,0.59,13.0,,,,VTN_FCT_2007,False,,Tên: Sữa chua (tử sữa bò). Nhóm: Sữa và sản phẩm chế biến. Mã: 10004.,Name: Magiê (Magnesium) mg 12 3 TS acid béo không no nhiều nối đôi g 0.090 3. Category: Milk and milk products. Code: 10004.,,,,
FOOD000005,CANON000005,VTN_FCT_2007,10005,1,Sữa chua vớt béo,"Yogurt, chocolate, nonfat milk",Sữa chua vớt béo,Sữa và sản phẩm chế biến,Milk and milk products,raw_ingredient,minimally_processed,True,False,,high,0.0,71.6,103.0,3.5,0.0,22.3,1.2,14.97,1.4,135.0,339.0,109.0,143.0,0.06,40.0,1.13,13.0,,,,VTN_FCT_2007,False,,Tên: Sữa chua vớt béo. Nhóm: Sữa và sản phẩm chế biến. Mã: 10005.,"Name: Yogurt, chocolate, nonfat milk. Category: Milk and milk products. Code: 10005.",,,,
FOOD000006,CANON000006,VTN_FCT_2007,10006,1,Sữa bột toàn phần,Magiê (Magnesium) mg 85 3 TS acid béo không no nhiều nối đôi g 0.670 3,Sữa bột toàn phần,Sữa và sản phẩm chế biến,Milk and milk products,raw_ingredient,minimally_processed,True,False,,high,0.0,3.5,494.0,27.0,26.0,38.0,0.0,38.42,5.5,371.0,1330.0,790.0,939.0,1.1,85.0,3.34,97.0,,,,VTN_FCT_2007,False,,Tên: Sữa bột toàn phần. Nhóm: Sữa và sản phẩm chế biến. Mã: 10006.,Name: Magiê (Magnesium) mg 85 3 TS acid béo không no nhiều nối đôi g 0.670 3. Category: Milk and milk products. Code: 10006.,,,,
FOOD000007,CANON000007,VTN_FCT_2007,10007,1,Sữa bột tách béo,Skimmed milk powder,Sữa bột tách béo,Sữa và sản phẩm chế biến,Milk and milk products,raw_ingredient,minimally_processed,True,False,,high,0.0,4.0,357.0,35.0,1.0,52.0,0.0,51.48,8.0,535.0,1794.0,980.0,1400.0,0.45,110.0,4.08,20.0,,,,VTN_FCT_2007,False,,Tên: Sữa bột tách béo. Nhóm: Sữa và sản phẩm chế biến. Mã: 10007.,Name: Skimmed milk powder. Category: Milk and milk products. Code: 10007.,,,,
FOOD000008,CANON000008,VTN_FCT_2007,10008,1,Sữa đÆc cã đường ViÖt Nam,Magiê (Magnesium) mg - TS acid béo không no nhiều nối đôi g -,Sữa đÆc cã đường ViÖt Nam,Sữa và sản phẩm chế biến,Milk and milk products,raw_ingredient,minimally_processed,True,False,,high,0.0,25.4,336.0,8.1,8.8,56.0,0.0,,1.7,,,219.0,307.0,0.6,,,,,,,VTN_FCT_2007,False,,Tên: Sữa đÆc cã đường ViÖt Nam. Nhóm: Sữa và sản phẩm chế biến. Mã: 10008.,Name: Magiê (Magnesium) mg - TS acid béo không no nhiều nối đôi g -. Category: Milk and milk products. Code: 10008.,,,,
FOOD000009,CANON000009,VTN_FCT_2007,10009,1,Pho mát,Cheese (whole fat),Pho mát,Sữa và sản phẩm chế biến,Milk and milk products,raw_ingredient,minimally_processed,True,False,,high,0.0,38.9,380.0,25.5,30.9,0.0,0.0,0.52,4.7,621.0,98.0,424.0,760.0,0.5,28.0,3.11,105.0,,,,VTN_FCT_2007,False,,Tên: Pho mát. Nhóm: Sữa và sản phẩm chế biến. Mã: 10009.,Name: Cheese (whole fat). Category: Milk and milk products. Code: 10009.,,,,
FOOD000010,CANON000010,VTN_FCT_2007,1001,1,Bánh đa nem,Rice paper for rollers,Bánh đa nem,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,True,False,,high,0.0,15.0,333.0,4.0,0.2,78.9,0.5,,1.4,,,65.0,20.0,0.3,,,0.0,,,0.0,VTN_FCT_2007,False,,Tên: Bánh đa nem. Nhóm: Ngũ cốc và sản phẩm chế biến. Mã: 01001.,Name: Rice paper for rollers. Category: Cereal and cereal products. Code: 01001.,,,,
