chunk_id,source_id,source_file,source_type,source_locator,source_page,source_section,extracted_supporting_text,claim_summary,verification_status
diabetes_t1_001,niddk_type1_diabetes,data/rag/v2/raw_sources/niddk_type1_diabetes.txt,html,what-is-diabetes/type-1-diabetes.txt,,General overview,"Type 1 diabetes is a disease in which your pancreas does not make insulin... Managing type 1 diabetes requires keeping your blood glucose levels in target range through insulin, diet, and exercise.","Type 1 diabetes nutrition requires coordinating insulin, diet, and physical activity.",verified
diabetes_t1_002,ada_understanding_carbs,data/rag/v2/raw_sources/ada_understanding_carbs.txt,html,ada_understanding_carbs.txt,,Understanding Carbs,"Because carbohydrates turn into glucose in the body, they have the greatest impact on blood sugar. Counting carbs helps people with type 1 diabetes match their insulin dose to the food they eat.",Type 1 diabetics must count carbs to determine insulin bolus doses.,verified
diabetes_t1_003,niddk_diabetes_diet,data/rag/v2/raw_sources/niddk_diabetes_diet.txt,html,niddk_diabetes_diet.txt,,Meal planning,"For type 1 diabetes, eating at the same times each day is important, especially if you take certain types of insulin. Skipping meals while on insulin increases risk of hypoglycemia.",Meal timing consistency is critical in type 1 diabetes to prevent hypoglycemia.,verified
diabetes_t1_004,ada_understanding_carbs,data/rag/v2/raw_sources/ada_understanding_carbs.txt,html,ada_understanding_carbs.txt,,Understanding Carbs,"Taking mealtime insulin before eating helps match the action of the insulin with the glucose entering the blood from food, typically 15 to 30 minutes prior to meals.",Coordinating mealtime insulin injection 15-30 minutes before eating is required in type 1 diabetes.,verified
diabetes_t1_005,niddk_diabetes_diet,data/rag/v2/raw_sources/niddk_diabetes_diet.txt,html,niddk_diabetes_diet.txt,,Exercise safety,"Physical activity can lower blood glucose levels, sometimes up to 24 hours after exercise. Check blood sugar before exercising and carry fast-acting carbohydrates.",Type 1 diabetics must monitor glucose and carry fast-acting carbs during physical activity.,verified
diabetes_t1_006,ada_understanding_carbs,data/rag/v2/raw_sources/ada_understanding_carbs.txt,html,ada_understanding_carbs.txt,,Understanding Carbs,"Hypoglycemia symptoms include shaking, sweating, fast heartbeat, dizziness, and hunger. It is defined as blood sugar under 70 mg/dL.",Recognizing hypoglycemia symptoms and using fast-acting carbs is vital in type 1 diabetes.,verified
diabetes_t1_007,niddk_type1_diabetes,data/rag/v2/raw_sources/niddk_type1_diabetes.txt,html,niddk_type1_diabetes.txt,,DKA warning signs,"High blood sugar can lead to diabetic ketoacidosis (DKA) in type 1 diabetes. Symptoms include dry mouth, extreme thirst, frequent urination, fruity breath, and nausea.",High blood sugar and DKA warning signs in type 1 diabetes require urgent testing and clinical care.,verified
diabetes_t1_008,niddk_type1_diabetes,data/rag/v2/raw_sources/niddk_type1_diabetes.txt,html,niddk_type1_diabetes.txt,,Medication decisions,"Decisions regarding insulin dosing, therapy changes, or regimen adjustments must be made by qualified healthcare professionals.",Insulin dosing changes in type 1 diabetes must be directed by a clinician.,verified
diabetes_t1_009,niddk_type1_diabetes,data/rag/v2/raw_sources/niddk_type1_diabetes.txt,html,niddk_type1_diabetes.txt,,Emergency signs,"Urgent medical help is required for DKA symptoms like rapid deep breathing, vomiting, confusion, or severe unresponsive hypoglycemia.",Urgent emergency medical care is needed for DKA and severe hypoglycemia in type 1 diabetes.,verified
diabetes_t2_001,ada_eating_healthy,data/rag/v2/raw_sources/ada_eating_healthy.txt,html,ada_eating_healthy.txt,,General nutrition,"For type 2 diabetes, dietary patterns should promote insulin sensitivity and weight management. Prioritize non-starchy vegetables, whole grains, and lean proteins.",Type 2 diabetes nutrition focuses on insulin sensitivity and blood glucose management.,verified
diabetes_t2_002,ada_understanding_carbs,data/rag/v2/raw_sources/ada_understanding_carbs.txt,html,ada_understanding_carbs.txt,,Understanding Carbs,"Quality of carbs is key for type 2 diabetes. Choose complex, fiber-rich carbohydrates over refined grains and simple sugars to slow glucose absorption.",Type 2 diabetics should choose complex carbohydrates over refined grains.,verified
diabetes_t2_003,cdc_diabetes_meal_planning,data/rag/v2/raw_sources/cdc_diabetes_meal_planning.txt,html,cdc_diabetes_meal_planning.txt,,Meal planning,"The Plate Method is a simple visual guide: half non-starchy vegetables, one-quarter lean protein, and one-quarter carbohydrate foods.",The Diabetes Plate Method is a simple portion control tool for type 2 diabetes.,verified
diabetes_t2_004,ada_eating_healthy,data/rag/v2/raw_sources/ada_eating_healthy.txt,html,ada_eating_healthy.txt,,General nutrition,"Avoid sugar-sweetened beverages like soda, sweet tea, and fruit juices. Opt for water or unsweetened drinks to manage calories and blood sugar.",Type 2 diabetics must avoid sugary drinks and prioritize calorie-free beverages.,verified
diabetes_t2_005,cdc_diabetes_meal_planning,data/rag/v2/raw_sources/cdc_diabetes_meal_planning.txt,html,cdc_diabetes_meal_planning.txt,,Meal planning,"Fiber in vegetables, whole grains, and legumes slows digestion, preventing blood sugar spikes, and supports weight control by enhancing satiety.",Fiber-rich foods help manage blood glucose and support weight loss in type 2 diabetes.,verified
diabetes_t2_006,niddk_diabetes_diet,data/rag/v2/raw_sources/niddk_diabetes_diet.txt,html,niddk_diabetes_diet.txt,,Exercise safety,Exercise makes cells more sensitive to insulin. Aim for at least 150 minutes per week of moderate-intensity aerobic activity.,Regular physical activity improves insulin sensitivity in type 2 diabetes; goal is 150 mins/week.,verified
diabetes_t2_007,cdc_diabetes_meal_planning,data/rag/v2/raw_sources/cdc_diabetes_meal_planning.txt,html,cdc_diabetes_meal_planning.txt,,Meal planning,"Losing 5% to 10% of body weight improves blood sugar control, reduces medication needs, and lowers cardiovascular risks in type 2 diabetes.",Losing 5-10% of body weight improves glycemic control and reduces comorbidities in type 2 diabetes.,verified
diabetes_t2_008,cdc_diabetes_meal_planning,data/rag/v2/raw_sources/cdc_diabetes_meal_planning.txt,html,cdc_diabetes_meal_planning.txt,,Meal planning,"Self-monitoring of blood glucose helps individuals see how diet and exercise affect their levels, facilitating lifestyle adjustments and clinical management.",Self-monitoring of blood glucose supports lifestyle modification in type 2 diabetes.,verified
diabetes_t2_009,niddk_diabetes_diet,data/rag/v2/raw_sources/niddk_diabetes_diet.txt,html,niddk_diabetes_diet.txt,,Exercise safety,Hypoglycemia is a risk for type 2 diabetics taking sulfonylureas or insulin. Those managing with metformin or diet alone are at lower risk.,Hypoglycemia risk in type 2 diabetes is primary for those on sulfonylureas or insulin.,verified
diabetes_t2_010,cdc_diabetes_meal_planning,data/rag/v2/raw_sources/cdc_diabetes_meal_planning.txt,html,cdc_diabetes_meal_planning.txt,,Meal planning,"Working with a registered dietitian or certified diabetes educator helps personalize meal planning, taking into account medications, lifestyle, and comorbidities.",Type 2 diabetics should consult dietitians for personalized nutrition plans.,verified
diabetes_unknown_001,cdc_diabetes_meal_planning,data/rag/v2/raw_sources/cdc_diabetes_meal_planning.txt,html,cdc_diabetes_meal_planning.txt,,Meal planning,"General diabetes education emphasizes balanced healthy eating, prioritizing non-starchy vegetables and minimizing refined sugars, applicable to all types.",General diabetes education targets basic healthy eating parameters without assuming type.,verified
diabetes_unknown_002,niddk_type1_diabetes,data/rag/v2/raw_sources/niddk_type1_diabetes.txt,html,niddk_type1_diabetes.txt,,General overview,"Diabetes recommendations differ by type; type 1 requires daily insulin injection to survive, while type 2 may be managed with diet, exercise, and oral meds.",Diabetes guidelines differ significantly between type 1 (insulin-dependent) and type 2.,verified
diabetes_unknown_003,niddk_type1_diabetes,data/rag/v2/raw_sources/niddk_type1_diabetes.txt,html,niddk_type1_diabetes.txt,,General overview,"Accurate identification of type 1 vs type 2 diabetes is critical for determining correct therapy, monitoring schedules, and safety support rules.",Patients with unspecified diabetes should confirm their diagnosis type with a healthcare provider.,verified
diabetes_unknown_004,ada_eating_healthy,data/rag/v2/raw_sources/ada_eating_healthy.txt,html,ada_eating_healthy.txt,,General nutrition,"When diabetes type is unspecified, avoid insulin dosing assumptions. Stick to general lifestyle advice like low salt, low sugar, and high fiber.",General diabetes advice must avoid insulin assumptions and focus on basic diet rules.,verified
prediabetes_001,cdc_prediabetes_lifestyle_change,data/rag/v2/raw_sources/cdc_prediabetes_lifestyle_change.txt,html,cdc_prediabetes_lifestyle_change.txt,,About the Lifestyle Change Program,"Prediabetes is a serious health condition where blood sugar levels are higher than normal, but not high enough yet to be diagnosed as type 2 diabetes.",Prediabetes represents a warning window where blood sugar is elevated but not yet at type 2 level.,verified
prediabetes_002,cdc_prevent_type2_guide,data/rag/v2/raw_sources/cdc_prevent_type2_guide.txt,html,cdc_prevent_type2_guide.txt,,Dietary recommendations,"Managing portion sizes of carbohydrates like rice is necessary in prediabetes, but complete elimination is not recommended. Focus on portions and quality.",Prediabetics should control carbohydrate portions rather than completely eliminating them.,verified
prediabetes_003,cdc_prevent_type2_guide,data/rag/v2/raw_sources/cdc_prevent_type2_guide.txt,html,cdc_prevent_type2_guide.txt,,Dietary recommendations,"Sugar-sweetened beverages add empty calories and sugar. Prediabetics should replace soda, sweet teas, and juices with water to prevent weight gain.",Prediabetics should avoid sugar-sweetened beverages and replace them with water.,verified
prediabetes_004,cdc_prevent_type2_guide,data/rag/v2/raw_sources/cdc_prevent_type2_guide.txt,html,cdc_prevent_type2_guide.txt,,Dietary recommendations,Losing 5% to 7% of your body weight can cut your risk of developing type 2 diabetes by more than half for people with prediabetes.,Losing 5-7% of body weight dramatically cuts the risk of progressing to type 2 diabetes.,verified
prediabetes_005,cdc_prevent_type2_guide,data/rag/v2/raw_sources/cdc_prevent_type2_guide.txt,html,cdc_prevent_type2_guide.txt,,Dietary recommendations,"Get at least 150 minutes per week of moderate physical activity, such as brisk walking, to help prevent or delay type 2 diabetes.",150 minutes per week of moderate exercise is recommended to delay or prevent type 2 diabetes.,verified
prediabetes_006,cdc_prediabetes_lifestyle_change,data/rag/v2/raw_sources/cdc_prediabetes_lifestyle_change.txt,html,cdc_prediabetes_lifestyle_change.txt,,About the Lifestyle Change Program,"Structured lifestyle change programs like the National DPP help participants make lasting changes, such as eating healthier, adding activity, and managing stress.",Structured lifestyle modification programs support sustained prevention of type 2 diabetes.,verified
prediabetes_007,cdc_prevent_type2_guide,data/rag/v2/raw_sources/cdc_prevent_type2_guide.txt,html,cdc_prevent_type2_guide.txt,,Dietary recommendations,Prediabetes often has no symptoms. Periodic blood tests like HbA1c every 6 to 12 months are necessary to track status and progression risk.,Prediabetics require periodic lab screening (HbA1c) due to the asymptomatic nature of the condition.,verified
prediabetes_008,cdc_prevent_type2_guide,data/rag/v2/raw_sources/cdc_prevent_type2_guide.txt,html,cdc_prevent_type2_guide.txt,,Dietary recommendations,Not all individuals with prediabetes require medication. Dosing or medication initiation decisions must be individualized by a physician; lifestyle changes remain primary.,Metformin or medication use in prediabetes is not universal; lifestyle change is the primary recommendation.,verified
hypertension_001,aha_sodium_per_day,data/rag/v2/raw_sources/aha_sodium_per_day.txt,html,aha_sodium_per_day.txt,,AHA/ACC absolute sodium limits,"The American Heart Association recommends an ideal limit of no more than 1500 mg of sodium per day for most adults, especially those with high blood pressure.",Hypertensive adults should target a daily sodium limit of under 1500 mg.,verified
hypertension_002,aha_shaking_salt_habit,data/rag/v2/raw_sources/aha_shaking_salt_habit.txt,html,aha_shaking_salt_habit.txt,,Condiments,"Condiments like soy sauce, fish sauce, and salad dressings are high in sodium. A single tablespoon can contain a substantial portion of the daily sodium allowance.",Traditional condiments like fish sauce are highly concentrated sodium sources requiring moderation.,verified
hypertension_003,cdc_sodium_health,data/rag/v2/raw_sources/cdc_sodium_health.txt,html,cdc_sodium_health.txt,,Processed food sources,"Most of the sodium in the diet comes from processed and restaurant foods. Reading nutrition labels helps identify hidden sodium in canned goods, deli meats, and packaged meals.",Processed foods are major contributors to high sodium intake; label reading is necessary.,verified
hypertension_004,aha_shaking_salt_habit,data/rag/v2/raw_sources/aha_shaking_salt_habit.txt,html,aha_shaking_salt_habit.txt,,Dietary patterns,"Eating a diet rich in fruits, vegetables, and low-fat dairy can lower blood pressure. Potassium-rich foods help counter the effects of sodium, provided kidney function is normal.","Fruits and vegetables (potassium-rich) lower blood pressure, except when kidney disease is present.",verified
hypertension_005,cdc_sodium_health,data/rag/v2/raw_sources/cdc_sodium_health.txt,html,cdc_sodium_health.txt,,Sodium mechanisms,Losing weight is one of the most effective lifestyle changes for controlling blood pressure. Every kilogram lost reduces blood pressure by approximately 1 mmHg.,Weight reduction directly correlates with blood pressure decreases.,verified
hypertension_006,cdc_sodium_health,data/rag/v2/raw_sources/cdc_sodium_health.txt,html,cdc_sodium_health.txt,,Sodium mechanisms,"Regular physical activity of moderate intensity, like 30 minutes of walking 5 days a week, helps lower blood pressure and manage weight.",30 minutes of moderate exercise 5 days a week lowers blood pressure in hypertensive individuals.,verified
hypertension_007,cdc_sodium_health,data/rag/v2/raw_sources/cdc_sodium_health.txt,html,cdc_sodium_health.txt,,Sodium mechanisms,Home blood pressure monitoring provides useful data for managing hypertension. Measure at consistent times and log results for physician review.,Regular home blood pressure monitoring supports hypertension management.,verified
hypertension_008,cdc_sodium_health,data/rag/v2/raw_sources/cdc_sodium_health.txt,html,cdc_sodium_health.txt,,Sodium mechanisms,Antihypertensive medication plans must not be modified without direct clinical evaluation. Silent hypertension risks require continuous medication adherence.,Adherence to prescribed blood pressure medications is required; changes must be clinical.,verified
hypertension_009,cdc_sodium_health,data/rag/v2/raw_sources/cdc_sodium_health.txt,html,cdc_sodium_health.txt,,Emergency signs,"A hypertensive crisis is defined as BP over 180/120 mmHg accompanied by symptoms like severe headache, chest pain, vision changes, or numbness. Seek immediate emergency care.",A hypertensive crisis (BP >180/120 mmHg with severe symptoms) requires emergency medical services.,verified
ckd_g1_001,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,10,Chapter 1,"CKD Stage G1 is defined by eGFR >= 90 mL/min/1.73 m2, indicating normal or high kidney function, in the presence of markers of kidney damage.",CKD Stage G1 is characterized by normal/high eGFR (>=90) with kidney damage evidence.,verified
ckd_g1_002,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,12,Chapter 1,"An eGFR of >= 90 mL/min/1.73 m2 alone does not establish CKD stage G1. Other markers of kidney damage (e.g. albuminuria, hematuria, structural abnormalities) must be present for >3 months.","CKD G1 requires markers of kidney damage (like albuminuria) present for >3 months, not just eGFR >=90.",verified
ckd_g1_003,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,18,Chapter 1,Patients with CKD G1 should be monitored at least annually with eGFR and albuminuria (UACR) measurement to assess progression risk.,CKD G1 patients require annual monitoring of eGFR and UACR.,verified
ckd_g1_004,nkf_nutrition_ckd_stages_1_5,data/rag/v2/raw_sources/nkf_nutrition_ckd_stages_1_5.txt,html,nkf_nutrition_ckd_stages_1_5.txt,,Stages 1-5 overview,"For early stages (1-2), severe dietary restrictions of protein, potassium, or phosphorus are generally unnecessary unless recommended by a physician for specific complications.",Unnecessary severe dietary restrictions should be avoided in early CKD Stage G1.,verified
