source_id,condition_code,source_org,source_title,source_url,source_type,priority,expected_chunk_types,notes,download_status,extract_status,review_status
ada_meal_planning,diabetes,American Diabetes Association,ADA Meal Planning,https://diabetes.org/food-nutrition/meal-planning,html,high,"explanation,faq,lifestyle",User-requested MVP source.,downloaded_unverified_tls,extracted,draft
ada_eating_healthy,diabetes,American Diabetes Association,Eating Well & Managing Diabetes,https://diabetes.org/food-nutrition/eating-healthy,html,high,"explanation,lifestyle",User-requested MVP source.,downloaded_unverified_tls,extracted,draft
ada_understanding_carbs,diabetes,American Diabetes Association,Understanding Carbs,https://diabetes.org/food-nutrition/understanding-carbs,html,high,"explanation,faq",User-requested MVP source.,downloaded_unverified_tls,extracted,draft
aha_shaking_salt_habit,hypertension,American Heart Association,Shaking the Salt Habit to Lower High Blood Pressure,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/shaking-the-salt-habit-to-lower-high-blood-pressure,html,high,"explanation,warning,lifestyle",User-requested MVP source.,downloaded_unverified_tls,extracted,draft
aha_sodium_per_day,hypertension,American Heart Association,How Much Sodium Should I Eat Per Day?,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sodium/how-much-sodium-should-i-eat-per-day,html,high,"explanation,warning",User-requested MVP source.,downloaded_unverified_tls,extracted,draft
nkf_nutrition_ckd_stages_1_5,chronic_kidney_disease,National Kidney Foundation,Nutrition and Kidney Disease Stages 1-5,https://www.kidney.org/kidney-topics/nutrition-and-kidney-disease-stages-1-5-not-dialysis,html,high,"explanation,warning,lifestyle",User-requested MVP source.,downloaded_unverified_tls,extracted,draft
nkf_potassium_ckd_diet,chronic_kidney_disease,National Kidney Foundation,Potassium in Your CKD Diet,https://www.kidney.org/kidney-topics/potassium-your-ckd-diet,html,high,"explanation,faq,warning",User-requested MVP source.,downloaded_unverified_tls,extracted,draft
nkf_nutrition_hub,chronic_kidney_disease,National Kidney Foundation,NKF Nutrition Hub,https://www.kidney.org/nutrition,html,medium,"explanation,lifestyle",User-requested MVP source.,downloaded_unverified_tls,extracted,draft
medlineplus_gout,gout,NIH MedlinePlus,Gout,https://medlineplus.gov/gout.html,html,high,"explanation,faq,warning",User-requested MVP source.,downloaded_unverified_tls,extracted,draft
medlineplus_gout_encyclopedia,gout,NIH MedlinePlus,Gout Medical Encyclopedia,https://medlineplus.gov/ency/article/000422.htm,html,high,"explanation,warning",User-requested MVP source.,downloaded_unverified_tls,extracted,draft
medlineplus_uric_acid_blood,gout,NIH MedlinePlus,Uric Acid Blood,https://medlineplus.gov/ency/article/003476.htm,html,medium,explanation,User-requested MVP source.,downloaded_unverified_tls,extracted,draft
medlineplus_ckd_diet,chronic_kidney_disease,NIH MedlinePlus,Diet - Chronic Kidney Disease,https://medlineplus.gov/ency/article/002442.htm,html,high,"explanation,warning,lifestyle",User-requested MVP source.,downloaded_unverified_tls,extracted,draft
cdc_diabetes_meal_planning,diabetes,CDC,Diabetes Meal Planning,https://www.cdc.gov/diabetes/healthy-eating/diabetes-meal-planning.html,html,medium,"explanation,lifestyle",User-requested MVP source.,downloaded_unverified_tls,extracted,draft
cdc_sodium_health,hypertension,CDC,About Sodium and Health,https://www.cdc.gov/salt/about/index.html,html,medium,"explanation,warning",User-requested MVP source.,downloaded_unverified_tls,extracted,draft
cdc_prediabetes_lifestyle_change,prediabetes,CDC,About the Lifestyle Change Program,https://www.cdc.gov/diabetes-prevention/lifestyle-change-program/lifestyle-change-program-details.html,html,medium,"explanation,lifestyle",Additional official MVP source for prediabetes traceability.,downloaded_unverified_tls,extracted,draft
cdc_prevent_type2_guide,prediabetes,CDC,About On Your Way to Preventing Type 2 Diabetes,https://www.cdc.gov/diabetes/prevention-type-2/type-2-diabetes-prevention-guide.html,html,medium,"explanation,faq,lifestyle",Additional official MVP source for prediabetes traceability.,downloaded_unverified_tls,extracted,draft
cdc_steps_losing_weight,obesity,CDC,Steps for Losing Weight,https://www.cdc.gov/healthy-weight-growth/losing-weight/index.html,html,medium,"explanation,lifestyle,warning",Additional official MVP source for obesity traceability.,downloaded_unverified_tls,extracted,draft
cdc_healthy_eating_weight,obesity,CDC,Tips for Healthy Eating for a Healthy Weight,https://www.cdc.gov/healthy-weight-growth/healthy-eating/index.html,html,medium,"explanation,lifestyle",Additional official MVP source for obesity traceability.,downloaded_unverified_tls,extracted,draft
medlineplus_obesity,obesity,NIH MedlinePlus,Obesity,https://medlineplus.gov/obesity.html,html,medium,"explanation,warning,lifestyle",Additional official MVP source for obesity traceability.,downloaded_unverified_tls,extracted,draft
