activity_id,source_compendium,category_name_vi,category_name_en,description_vi,description_en,met_value,met_type,baseline_value,baseline_unit,intensity_level,suitable_for_beginner,suitable_for_elderly,suitable_for_wheelchair_user,source_url
adult_01003,adult,Đạp xe,Bicycling,"Đạp xe, địa hình núi, lên dốc, cường độ cao","Bicycling, mountain, uphill, vigorous",14.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01004,adult,Đạp xe,Bicycling,"Đạp xe, địa hình núi, đua thi đấu","Bicycling, mountain, competitive racing",16.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01008,adult,Đạp xe,Bicycling,"Đạp xe, BMX","Bicycling, BMX",8.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01009,adult,Đạp xe,Bicycling,"Đạp xe, địa hình núi, thông thường","Bicycling, mountain, general",8.5,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01010,adult,Đạp xe,Bicycling,"Đạp xe, <10 mph, thư giãn, đi làm hoặc giải trí (Taylor Code 115)","Bicycling, <10 mph, leisure, to work or for pleasure (Taylor Code 115)",4.0,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01011,adult,Đạp xe,Bicycling,"Đạp xe, đi đến/rời nơi làm việc, tự chọn tốc độ","Bicycling, to/from work, self selected pace",6.8,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01013,adult,Đạp xe,Bicycling,"Đạp xe, trên đường đất hoặc đường nông trại, tốc độ vừa","Bicycling, on dirt or farm road, moderate pace",5.8,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01014,adult,Đạp xe,Bicycling,"Đạp xe, thông thường","Bicycling, general",7.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
adult_01015,adult,Đạp xe,Bicycling,"Đạp xe, tự chọn tốc độ nhẹ nhàng","Bicycling, self-selected easy pace",4.3,MET,3.5,ml/kg/min,moderate,True,False,False,https://pacompendium.com/bicycling
adult_01016,adult,Đạp xe,Bicycling,"Đạp xe, tự chọn tốc độ vừa","Bicycling, self-selected moderate pace",7.0,MET,3.5,ml/kg/min,vigorous,False,False,False,https://pacompendium.com/bicycling
