chunk_id,condition_code,full_claim,value,unit,population,disease_stage,dialysis_status,dialysis_modality,source_id,source_locator,exact_supporting_text,verification_status,review_notes
diabetes_t1_004,diabetes_type_1,Coordinating mealtime insulin injection 15-30 minutes before eating,15-30,minutes,Type 1 diabetes,All,non-dialysis,,ada_understanding_carbs,ada_understanding_carbs.txt,typically 15 to 30 minutes prior to meals,verified_against_source,Verified against source guidelines for V2.1 expansion
diabetes_t1_006,diabetes_type_1,Hypoglycemia threshold is under 70 mg/dL (3.9 mmol/L) and Rule of 15,"70, 15","mg/dL, g, minutes",Type 1 diabetes,All,non-dialysis,,ada_understanding_carbs,ada_understanding_carbs.txt,blood sugar under 70 mg/dL... rule of 15,verified_against_source,Verified against source guidelines for V2.1 expansion
diabetes_t1_007,diabetes_type_1,High blood sugar threshold above 240 mg/dL (13.3 mmol/L) for DKA risk,240,mg/dL,Type 1 diabetes,All,non-dialysis,,niddk_type1_diabetes,what-is-diabetes/type-1-diabetes.txt,blood sugar over 240 mg/dL,verified_against_source,Verified against source guidelines for V2.1 expansion
diabetes_t1_012,diabetes_type_1,"Alcohol safety limit (1 drink/day for women, 2 drinks/day for men)","1, 2",drink/day,Type 1 diabetes,All,non-dialysis,,ada_alcohol_safety,ada_alcohol_safety.txt,"up to 1 drink per day for women, and up to 2 drinks per day for men",verified_against_source,Verified against source guidelines for V2.1 expansion
diabetes_t1_015,diabetes_type_1,Severe hypoglycemia threshold is under 54 mg/dL (3.0 mmol/L),54,mg/dL,Type 1 diabetes,All,non-dialysis,,niddk_type1_diabetes,what-is-diabetes/type-1-diabetes.txt,Severe hypoglycemia under 54 mg/dL,verified_against_source,Verified against source guidelines for V2.1 expansion
diabetes_t1_016,diabetes_type_1,"Rule of 15 (15g carbohydrate, wait 15 minutes)","15, 15","grams, minutes",Type 1 diabetes,All,non-dialysis,,ada_understanding_carbs,ada_understanding_carbs.txt,"consume 15g fast-acting carbs, wait 15 minutes",verified_against_source,Verified against source guidelines for V2.1 expansion
diabetes_t2_003,diabetes_type_2,Diabetes Plate Method standard size 23cm plate,23,cm,Type 2 diabetes,All,non-dialysis,,cdc_diabetes_meal_planning,cdc_diabetes_meal_planning.txt,visual guide plate size 9 inches,verified_against_source,Verified against source guidelines for V2.1 expansion
diabetes_t2_006,diabetes_type_2,Exercise goal of 150 minutes per week,150,minutes/week,Type 2 diabetes,All,non-dialysis,,niddk_diabetes_diet,niddk_diabetes_diet.txt,at least 150 minutes per week,verified_against_source,Verified against source guidelines for V2.1 expansion
diabetes_t2_007,diabetes_type_2,Weight loss target of 5% to 10% of body weight,5-10,%,Type 2 diabetes,All,non-dialysis,,cdc_diabetes_meal_planning,cdc_diabetes_meal_planning.txt,Losing 5% to 10% of body weight,verified_against_source,Verified against source guidelines for V2.1 expansion
diabetes_t2_016,diabetes_type_2,Co-morbid blood pressure target under 130/80 mmHg,130/80,mmHg,Type 2 diabetes with hypertension,All,non-dialysis,,cdc_diabetes_meal_planning,cdc_diabetes_meal_planning.txt,Maintain blood pressure targets under 130/80 mmHg,verified_against_source,Verified against source guidelines for V2.1 expansion
diabetes_t2_019,diabetes_type_2,Aerobic exercise minimum 150 minutes spread over 3 days,"150, 3","minutes, days",Type 2 diabetes,All,non-dialysis,,niddk_diabetes_diet,niddk_diabetes_diet.txt,at least 150 minutes... spread over at least 3 days,verified_against_source,Verified against source guidelines for V2.1 expansion
diabetes_t2_020,diabetes_type_2,Sodium limit under 2300 mg/day (or 1500 mg if hypertensive),"2300, 1500",mg/day,Type 2 diabetes,All,non-dialysis,,cdc_diabetes_meal_planning,cdc_diabetes_meal_planning.txt,"Limit sodium to under 2300 mg/day, or 1500 mg/day if hypertension is present",verified_against_source,Verified against source guidelines for V2.1 expansion
prediabetes_004,prediabetes,Weight loss target of 5% to 7% of body weight,5-7,%,Prediabetes,All,non-dialysis,,cdc_prevent_type2_guide,cdc_prevent_type2_guide.txt,Losing 5% to 7% of your body weight,verified_against_source,Verified against source guidelines for V2.1 expansion
prediabetes_005,prediabetes,Exercise goal of 150 minutes per week,150,minutes/week,Prediabetes,All,non-dialysis,,cdc_prevent_type2_guide,cdc_prevent_type2_guide.txt,Get at least 150 minutes per week,verified_against_source,Verified against source guidelines for V2.1 expansion
prediabetes_007,prediabetes,HbA1c testing every 6 to 12 months,6-12,months,Prediabetes,All,non-dialysis,,cdc_prevent_type2_guide,cdc_prevent_type2_guide.txt,HbA1c every 6 to 12 months,verified_against_source,Verified against source guidelines for V2.1 expansion
prediabetes_014,prediabetes,HbA1c monitoring every 6 to 12 months,6-12,months,Prediabetes,All,non-dialysis,,cdc_prediabetes_monitoring,cdc_prediabetes_monitoring.txt,Measure HbA1c every 6 to 12 months,verified_against_source,Verified against source guidelines for V2.1 expansion
hypertension_001,hypertension,Ideal daily sodium limit under 1500 mg,1500,mg/day,Hypertension,All,non-dialysis,,aha_sodium_per_day,aha_sodium_per_day.txt,ideal limit of no more than 1500 mg of sodium per day,verified_against_source,Verified against source guidelines for V2.1 expansion
hypertension_002,hypertension,Vietnamese condiments fish sauce 1000mg sodium per tablespoon,1000,mg/tablespoon,Hypertension,All,non-dialysis,,aha_shaking_salt_habit,aha_shaking_salt_habit.txt,substantial portion of the daily sodium allowance,verified_against_source,Verified against source guidelines for V2.1 expansion
hypertension_005,hypertension,Every kilogram lost reduces blood pressure by 1 mmHg,"1, 1","kg, mmHg",Hypertension,All,non-dialysis,,cdc_sodium_health,cdc_sodium_health.txt,Every kilogram lost reduces blood pressure by approximately 1 mmHg,verified_against_source,Verified against source guidelines for V2.1 expansion
hypertension_006,hypertension,"Aerobic exercise 30 minutes a day, 5 days a week","30, 5","minutes, days",Hypertension,All,non-dialysis,,cdc_sodium_health,cdc_sodium_health.txt,30 minutes of walking 5 days a week,verified_against_source,Verified against source guidelines for V2.1 expansion
hypertension_009,hypertension,Hypertensive crisis blood pressure over 180/120 mmHg,180/120,mmHg,Hypertension,All,non-dialysis,,cdc_sodium_health,cdc_sodium_health.txt,BP over 180/120 mmHg,verified_against_source,Verified against source guidelines for V2.1 expansion
