example_id,user_text,condition_code,language,source_type,review_status,notes
sym_0001,tôi bị tiểu đường type 2 thì nên ăn cơm thế nào,diabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0002,đường huyết của tôi hay tăng sau bữa tối,diabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0003,bị đái tháo đường có uống trà sữa được không,diabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0004,người tiểu đường ăn trái cây gì cho ổn,diabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0005,"tôi mới được chẩn đoán tiểu đường, muốn đổi bữa sáng",diabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0006,ăn bún phở có làm đường huyết tăng nhiều không,diabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0007,"tôi dùng thuốc tiểu đường, có nên bỏ bữa để giảm cân không",diabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0008,bị tiểu đường có cần kiêng hoàn toàn tinh bột không,diabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0009,"đường huyết sau ăn của tôi cao, nên chia bữa sao",diabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0010,tôi muốn thực đơn ít đường cho người tiểu đường,diabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0011,ba tôi bị tiểu đường mà thích uống nước ngọt,diabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0012,tiểu đường type 2 ăn khoai lang thay cơm được không,diabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0013,"tôi bị đường huyết cao, muốn ăn vặt lành mạnh hơn",diabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0014,bữa cơm cho người tiểu đường nên có rau gì,diabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0015,"tôi bị tiểu đường và thừa cân, nên bắt đầu từ đâu",diabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0016,người đái tháo đường có ăn xôi được không,diabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0017,đường máu lúc đói của tôi cao nhiều lần,diabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0018,tôi muốn giảm đồ ngọt nhưng vẫn đủ năng lượng,diabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0019,"mẹ tôi bị tiểu đường, hay đói vào buổi chiều",diabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0020,bị tiểu đường có cần đọc nhãn dinh dưỡng không,diabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0021,"em mới phát hiện đường huyết cao, bác sĩ bảo coi chừng tiểu đường",prediabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0022,tôi bị tiền đái tháo đường thì ăn uống sao để không nặng hơn,prediabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0023,xét nghiệm nói tôi nguy cơ tiểu đường type 2,prediabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0024,đường huyết hơi cao nhưng chưa phải tiểu đường,prediabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0025,bác sĩ dặn tôi giảm cân vì tiền tiểu đường,prediabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0026,tôi muốn phòng tiểu đường khi mới phát hiện tiền đái tháo đường,prediabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0027,tiền tiểu đường có cần bỏ hẳn cơm không,prediabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0028,tôi nên vận động thế nào khi đường huyết cận cao,prediabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0029,"gia đình tôi nhiều người tiểu đường, tôi đang tiền đái tháo đường",prediabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0030,"tôi hay uống nước ngọt, giờ xét nghiệm báo đường cao",prediabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0031,tiền đái tháo đường có ăn trái cây được không,prediabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0032,tôi muốn đổi thói quen ăn sáng để giảm nguy cơ tiểu đường,prediabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0033,bị tiền tiểu đường có cần theo dõi cân nặng không,prediabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0034,tôi ngồi văn phòng nhiều và đường huyết bắt đầu cao,prediabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0035,bác sĩ khuyên tôi tham gia chương trình thay đổi lối sống,prediabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0036,tôi muốn thực đơn đơn giản cho giai đoạn tiền tiểu đường,prediabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0037,đường máu cao nhẹ có thể cải thiện bằng ăn uống không,prediabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0038,tôi sợ chuyển thành tiểu đường type 2,prediabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0039,tiền đái tháo đường nên giảm đồ ngọt thế nào,prediabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0040,tôi cần lời khuyên dễ làm để phòng tiểu đường,prediabetes,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0041,"bác sĩ nói huyết áp tôi cao, có cần bớt ăn mặn không",hypertension,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0042,tôi bị tăng huyết áp mà vẫn hay ăn nước mắm mặn,hypertension,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0043,huyết áp cao có nên giảm mì gói không,hypertension,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0044,ăn dưa muối nhiều có ảnh hưởng huyết áp không,hypertension,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0045,tôi muốn nấu nhạt hơn cho người cao huyết áp,hypertension,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
sym_0046,"ba tôi tăng huyết áp, thích đồ kho mặn",hypertension,vi,synthetic_llm_assisted,needs_review,Synthetic Vietnamese starter utterance for academic MVP; requires human review.
