source_id,publisher,title,source_type,original_url,publication_date,accessed_date,local_snapshot_path,extracted_text_path,relevant_pages,relevant_sections,authority_level,verification_status,notes
ada_meal_planning,American Diabetes Association,ADA Meal Planning,html,https://diabetes.org/food-nutrition/meal-planning,2023-01,2026-07-20,data/rag/v2/raw_sources/diabetes/ada_meal_planning.html,data/rag/v2/raw_sources/diabetes/ada_meal_planning.txt,All,"Meal planning, Diabetes Plate Method guidelines",High,downloaded_unverified_tls,Reused original HTML snapshot
ada_eating_healthy,American Diabetes Association,Eating Well & Managing Diabetes,html,https://diabetes.org/food-nutrition/eating-healthy,2023-01,2026-07-20,data/rag/v2/raw_sources/diabetes/ada_eating_healthy.html,data/rag/v2/raw_sources/diabetes/ada_eating_healthy.txt,All,"General nutrition, fruit consumption, and added sugars",High,downloaded_unverified_tls,Reused original HTML snapshot
ada_understanding_carbs,American Diabetes Association,Understanding Carbs,html,https://diabetes.org/food-nutrition/understanding-carbs,2023-01,2026-07-20,data/rag/v2/raw_sources/diabetes/ada_understanding_carbs.html,data/rag/v2/raw_sources/diabetes/ada_understanding_carbs.txt,All,"Carbohydrates and blood glucose, medication timing guidelines",High,downloaded_unverified_tls,Reused original HTML snapshot
cdc_diabetes_meal_planning,CDC,Diabetes Meal Planning,html,https://www.cdc.gov/diabetes/healthy-eating/diabetes-meal-planning.html,2023-01,2026-07-20,data/rag/v2/raw_sources/diabetes/cdc_diabetes_meal_planning.html,data/rag/v2/raw_sources/diabetes/cdc_diabetes_meal_planning.txt,All,"Meal planning, weight management for Type 2, monitoring guidelines",High,downloaded_unverified_tls,Reused original HTML snapshot
cdc_prediabetes_lifestyle_change,CDC,About the Lifestyle Change Program,html,https://www.cdc.gov/diabetes-prevention/lifestyle-change-program/lifestyle-change-program-details.html,2023-01,2026-07-20,data/rag/v2/raw_sources/prediabetes/cdc_prediabetes_lifestyle_change.html,data/rag/v2/raw_sources/prediabetes/cdc_prediabetes_lifestyle_change.txt,All,"Prediabetes overview, lifestyle intervention program details",High,downloaded_unverified_tls,Reused original HTML snapshot
cdc_prevent_type2_guide,CDC,About On Your Way to Preventing Type 2 Diabetes,html,https://www.cdc.gov/diabetes/prevention-type-2/type-2-diabetes-prevention-guide.html,2023-01,2026-07-20,data/rag/v2/raw_sources/prediabetes/cdc_prevent_type2_guide.html,data/rag/v2/raw_sources/prediabetes/cdc_prevent_type2_guide.txt,All,"Prediabetes dietary recommendations, sugary drinks, portion control, progression monitoring",High,downloaded_unverified_tls,Reused original HTML snapshot
aha_shaking_salt_habit,American Heart Association,Shaking the Salt Habit to Lower High Blood Pressure,html,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/shaking-the-salt-habit-to-lower-high-blood-pressure,2023-01,2026-07-20,data/rag/v2/raw_sources/hypertension/aha_shaking_salt_habit.html,data/rag/v2/raw_sources/hypertension/aha_shaking_salt_habit.txt,All,"Condiments, processed foods, and dietary patterns for blood pressure",High,downloaded_unverified_tls,Reused original HTML snapshot
aha_sodium_per_day,American Heart Association,How Much Sodium Should I Eat Per Day?,html,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sodium/how-much-sodium-should-i-eat-per-day,2023-01,2026-07-20,data/rag/v2/raw_sources/hypertension/aha_sodium_per_day.html,data/rag/v2/raw_sources/hypertension/aha_sodium_per_day.txt,All,"AHA/ACC absolute sodium limits, warnings on processed foods",High,downloaded_unverified_tls,Reused original HTML snapshot
cdc_sodium_health,CDC,About Sodium and Health,html,https://www.cdc.gov/salt/about/index.html,2023-01,2026-07-20,data/rag/v2/raw_sources/hypertension/cdc_sodium_health.html,data/rag/v2/raw_sources/hypertension/cdc_sodium_health.txt,All,"Sodium mechanisms, processed food sources, public health limits",High,downloaded_unverified_tls,Reused original HTML snapshot
nkf_nutrition_ckd_stages_1_5,National Kidney Foundation,Nutrition and Kidney Disease Stages 1-5,html,https://www.kidney.org/kidney-topics/nutrition-and-kidney-disease-stages-1-5-not-dialysis,2023-01,2026-07-20,data/rag/v2/raw_sources/ckd/nkf_nutrition_ckd_stages_1_5.html,data/rag/v2/raw_sources/ckd/nkf_nutrition_ckd_stages_1_5.txt,All,"Nephrologist nutrition overviews, protein guidelines for Stages 1-5",High,downloaded_unverified_tls,Reused original HTML snapshot
nkf_potassium_ckd_diet,National Kidney Foundation,Potassium in Your CKD Diet,html,https://www.kidney.org/kidney-topics/potassium-your-ckd-diet,2023-01,2026-07-20,data/rag/v2/raw_sources/ckd/nkf_potassium_ckd_diet.html,data/rag/v2/raw_sources/ckd/nkf_potassium_ckd_diet.txt,All,"Potassium rich food classifications, lab measurement requirements",High,downloaded_unverified_tls,Reused original HTML snapshot
nkf_nutrition_hub,National Kidney Foundation,NKF Nutrition Hub,html,https://www.kidney.org/nutrition,2023-01,2026-07-20,data/rag/v2/raw_sources/ckd/nkf_nutrition_hub.html,data/rag/v2/raw_sources/ckd/nkf_nutrition_hub.txt,All,Patient nutrition resources and portal link entries,High,downloaded_unverified_tls,Reused original HTML snapshot
