severity,dataset,row_or_id,issue_type,current_value,recommended_action,evidence
Critical,rag_chunks_reviewed.csv,All Rows,needs_manual_medical_review,review_status=needs_review,"Submit datasets to clinician or dietitian review; store reviewer credentials, status, and review date in DB",All 70 chunk rows have review_status='needs_review' and 44 expanded rows have data_quality_flags='needs_manual_medical_review'
Critical,rag_chunks_reviewed.csv,All Rows,missing_numerical_metrics,0 chunks contain numeric claims (except type 2),"Incorporate official metric thresholds from guidelines (e.g., sodium limits, calorie targets) into RAG text chunks","Numeric claim inspection script found zero chunks with numbers for sodium, protein, or exercise duration limits"
High,symptom_condition_mapping_reviewed.csv,All Rows,missing_out_of_scope_classes,condition_code restricted to 6 main diseases only,"Add examples for 'unknown', 'out_of_scope', 'general_health', and 'emergency' labels to prevent forcing inputs into diseases",180 examples are strictly mapped to one of the six condition codes; no out-of-scope classes are defined
High,symptom_condition_mapping_reviewed.csv,14 rows,ambiguous_mapping,"example_id: sym_0013, sym_0021, sym_0064, sym_0070, sym_0156, etc.",Refine user queries to be more specific or handle ambiguous intents in a Safety/Ambiguity Router,review_flags='ambiguous_mapping' and notes indicate high blood glucose or high uric acid cannot confidently resolve to single conditions
High,rag_eval_set_reviewed.csv,eval_0011,no_supporting_chunk,supporting_chunk_ids=blank / no match,Add a knowledge chunk addressing prediabetes rice/carb consumption to satisfy this evaluation test case,Query 'Tiền tiểu đường có cần bỏ hẳn cơm không?' has review_flags='no_supporting_chunk' and lacks an answer in rag_chunks_reviewed.csv
High,rag_eval_set_reviewed.csv,"eval_0014, eval_0031",too_broad,review_flags='too_broad',Narrow down evaluation queries or provide clinician-in-the-loop fallback responses for medication and cure questions,Queries regarding whether prediabetics need medication (eval_0014) or if diet cures gout (eval_0031) are marked too_broad
High,source_registry.csv,nkf_nutrition_hub,unused_source,source is in registry but not chunked,Chunk relevant sections of the NKF nutrition hub source or document its reservation for future features,Source audit script found 'nkf_nutrition_hub' is registered in registry but 0 chunks reference it
High,symptom_condition_mapping_reviewed.csv,23 rows (gout),keyword_leakage,76.7% of gout queries contain the word 'gout',"Paraphrase gout symptoms (e.g. 'đau sưng ngón chân cái', 'nóng rát khớp') to avoid trivial classification based on the keyword 'gout'",Gout leakage analysis found 23 of 30 examples contain the exact string 'gout'
High,rag_chunks_reviewed.csv,expanded_ckd_001 to 010,missing_stage_specificity,CKD stages 1-5 grouped under single CKD category,"Segment CKD recommendations by stage (e.g., non-dialysis stage 3 vs dialysis stage 5) to prevent dangerous nutritional advice","Source files (NKF stages 1-5 diet) include stage distinctions that are completely lost in the merged, generic CKD chunks"
Medium,source_registry.csv,All Rows,unverified_tls_download,download_status='downloaded_unverified_tls',Re-verify downloads with secure TLS certificates and update registry download_status and retrieval date,All 19 registered sources have status 'downloaded_unverified_tls' and status 'draft'
