food_id,source_name,name_vi,name_en,category_vi,category_en,item_type,processing_level,recommendation_priority,water_g,kcal_per_100g,protein_g,fat_g,carb_g,fiber_g,sugar_g,sodium_mg,potassium_mg,phosphorus_mg,calcium_mg,iron_mg,magnesium_mg,zinc_mg,cholesterol_mg,saturated_fat_g,trans_fat_g,purine_mg
FOOD000001,VTN_FCT_2007,Sữa bò tươi,"Milk cow, fresh (fluid)",Sữa và sản phẩm chế biến,Milk and milk products,raw_ingredient,minimally_processed,high,86.2,74.0,3.9,4.4,4.8,0.0,5.26,380.0,143.0,95.0,120.0,0.1,16.0,0.4,42.0,,,
FOOD000002,VTN_FCT_2007,Sữa dê tươi,"Goat milk, fresh",Sữa và sản phẩm chế biến,Milk and milk products,raw_ingredient,minimally_processed,high,87.2,69.0,3.5,4.1,4.5,0.0,4.45,50.0,204.0,126.0,147.0,0.1,14.0,0.3,21.0,,,
FOOD000003,VTN_FCT_2007,Sữa mẹ (sữa người),"Breast milk (Human milk, whole).",Sữa và sản phẩm chế biến,Milk and milk products,raw_ingredient,minimally_processed,high,88.3,61.0,1.5,3.0,7.0,0.0,6.89,15.0,41.0,15.0,34.0,0.1,2.0,0.4,14.0,,,
FOOD000004,VTN_FCT_2007,Sữa chua (từ sữa bò),"Yogurt, from cow's milk",Sữa và sản phẩm chế biến,Milk and milk products,raw_ingredient,minimally_processed,high,88.7,61.0,3.3,3.7,3.6,0.0,4.66,46.0,155.0,95.0,120.0,0.1,12.0,0.59,13.0,,,
FOOD000005,VTN_FCT_2007,Sữa chua vớt béo,"Yogurt, chocolate, nonfat milk",Sữa và sản phẩm chế biến,Milk and milk products,raw_ingredient,minimally_processed,high,71.6,103.0,3.5,0.0,22.3,1.2,14.97,135.0,339.0,109.0,143.0,0.06,40.0,1.13,13.0,,,
FOOD000006,VTN_FCT_2007,Sữa bột toàn phần,"Milk powder, whole",Sữa và sản phẩm chế biến,Milk and milk products,raw_ingredient,minimally_processed,high,3.5,494.0,27.0,26.0,38.0,0.0,38.42,371.0,1330.0,790.0,939.0,1.1,85.0,3.34,97.0,,,
FOOD000007,VTN_FCT_2007,Sữa bột tách béo,Skimmed milk powder,Sữa và sản phẩm chế biến,Milk and milk products,raw_ingredient,minimally_processed,high,4.0,357.0,35.0,1.0,52.0,0.0,51.48,535.0,1794.0,980.0,1400.0,0.45,110.0,4.08,20.0,,,
FOOD000008,VTN_FCT_2007,Sữa đặc có đường Việt Nam,"Sweetened condensed milk, Vietnam",Sữa và sản phẩm chế biến,Milk and milk products,raw_ingredient,minimally_processed,high,25.4,336.0,8.1,8.8,56.0,0.0,,,,219.0,307.0,0.6,,,,,,
FOOD000009,VTN_FCT_2007,Pho mát,Cheese (whole fat),Sữa và sản phẩm chế biến,Milk and milk products,raw_ingredient,minimally_processed,high,38.9,380.0,25.5,30.9,0.0,0.0,0.52,621.0,98.0,424.0,760.0,0.5,28.0,3.11,105.0,,,
FOOD000010,VTN_FCT_2007,Bánh đa nem,Rice paper for rollers,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,15.0,333.0,4.0,0.2,78.9,0.5,,,,65.0,20.0,0.3,,,0.0,,,0.0
FOOD000011,VTN_FCT_2007,Bánh đúc,Rice pudding,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,86.8,52.0,0.9,0.3,11.3,0.1,,,,19.0,50.0,0.4,,,0.0,,,
FOOD000012,VTN_FCT_2007,Bánh mì,French bread,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,37.2,249.0,7.9,0.8,52.6,0.2,0.31,2.0,100.0,164.0,28.0,2.0,25.0,0.85,0.0,0.244,,
FOOD000013,VTN_FCT_2007,Bánh phở,Rice noodles,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,64.3,143.0,3.2,0.4,31.7,0.0,0.03,31.0,15.0,64.0,16.0,0.3,3.0,0.25,0.0,0.023,,0.0
FOOD000014,VTN_FCT_2007,Bánh quẩy,Wheat fritters twisted fried,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,38.7,292.0,8.0,10.8,40.7,0.7,,973.0,194.0,156.0,7.0,0.89,13.0,2.45,0.0,8.38,,0.0
FOOD000015,VTN_FCT_2007,Bỏng ngô,Corn flakes,Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,3.0,372.0,8.6,1.6,80.8,3.4,,,,47.0,31.0,0.6,,,0.0,,,
FOOD000017,VTN_FCT_2007,Cốm,"Rice, unriped. Raw",Ngũ cốc và sản phẩm chế biến,Cereal and cereal products,raw_ingredient,minimally_processed,high,25.0,297.0,6.1,0.8,66.3,0.6,0.73,3.0,101.0,143.0,24.0,1.0,32.0,1.34,0.0,0.049,,
