chunk_id,condition_code,chunk_type,language,text,source_id,source_title,source_url,source_org,license_note,review_status,medical_review_notes,localization_notes,source_support_notes,data_quality_flags
rag_diabetes_001,diabetes,explanation,vi,"Carbohydrate là nhóm chất dinh dưỡng có ảnh hưởng trực tiếp đến đường huyết sau bữa ăn vì cơ thể chuyển carbohydrate thành glucose để sử dụng làm năng lượng. Với người đái tháo đường, điều quan trọng không phải là loại bỏ hoàn toàn cơm, bún, bánh mì, trái cây hay sữa, mà là hiểu lượng ăn, cách phân bổ trong ngày và cách kết hợp với rau, đạm nạc, chất béo có lợi. Nội dung này chỉ là bản nháp giải thích chung; kế hoạch cụ thể cần được cá nhân hóa theo thuốc, mức đường huyết, hoạt động thể lực và tư vấn của nhân viên y tế.",ada_understanding_carbs,Understanding Carbs,https://diabetes.org/food-nutrition/understanding-carbs,American Diabetes Association,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review,"No direct diagnosis, medication-stop instruction, or unsupported hard threshold detected by automated review; still requires human medical review.",Contains Vietnamese food/local habit examples; wording is plausible but requires human localization review. Contains Vietnamese food/local habit examples; wording is plausible but requires human localization review. Contains Vietnamese food/local habit examples; wording is plausible but requires human localization review.,Source metadata is present and the chunk appears broadly aligned with its condition.,
rag_diabetes_002,diabetes,lifestyle,vi,"Một bữa ăn cân bằng cho người đái tháo đường thường nên có cấu trúc dễ nhìn: nhiều rau không tinh bột, một phần thực phẩm giàu đạm, một phần thực phẩm chứa carbohydrate và đồ uống ít hoặc không đường. Cách tiếp cận kiểu đĩa ăn giúp người dùng ước lượng khẩu phần mà không phải cân đo mọi món, đồng thời vẫn giữ được sự linh hoạt với món Việt như cơm, canh, cá, đậu phụ và rau luộc. Đây là bản nháp cần chuyên gia dinh dưỡng rà soát trước khi dùng trong tư vấn cá nhân.",cdc_diabetes_meal_planning,Diabetes Meal Planning,https://www.cdc.gov/diabetes/healthy-eating/diabetes-meal-planning.html,CDC,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review,"No direct diagnosis, medication-stop instruction, or unsupported hard threshold detected by automated review; still requires human medical review.",Contains Vietnamese food/local habit examples; wording is plausible but requires human localization review. Contains Vietnamese food/local habit examples; wording is plausible but requires human localization review. Contains Vietnamese food/local habit examples; wording is plausible but requires human localization review.,Source metadata is present and the chunk appears broadly aligned with its condition.,
rag_diabetes_003,diabetes,faq,vi,"Người đái tháo đường không nhất thiết phải kiêng hoàn toàn trái cây. Trái cây có vitamin, khoáng chất và chất xơ, nhưng vẫn có carbohydrate tự nhiên nên cần chú ý khẩu phần và cách ăn trong tổng bữa. Nên ưu tiên trái cây nguyên miếng thay vì nước ép hoặc đồ uống trái cây có đường, vì dạng uống dễ làm nạp nhiều đường nhanh hơn và ít tạo cảm giác no. Câu trả lời này là bản nháp FAQ, cần kiểm tra lại theo khuyến nghị lâm sàng và thói quen ăn uống của từng người.",ada_eating_healthy,Eating Well & Managing Diabetes,https://diabetes.org/food-nutrition/eating-healthy,American Diabetes Association,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review,"No direct diagnosis, medication-stop instruction, or unsupported hard threshold detected by automated review; still requires human medical review.",,Source metadata is present and the chunk appears broadly aligned with its condition.,
rag_diabetes_004,diabetes,warning,vi,"Đồ uống có đường như nước ngọt, trà sữa, nước tăng lực, nước ép thêm đường hoặc cà phê pha nhiều sữa đặc có thể làm tăng lượng đường nạp vào rất nhanh mà người uống không nhận ra. Với người đái tháo đường, nhóm đồ uống này thường không giúp no lâu và có thể làm việc kiểm soát đường huyết khó hơn. Khi xây dựng gợi ý, hệ thống nên khuyến khích nước lọc hoặc lựa chọn ít đường, đồng thời tránh đưa ra lời cấm tuyệt đối nếu chưa có bối cảnh y khoa cá nhân.",ada_eating_healthy,Eating Well & Managing Diabetes,https://diabetes.org/food-nutrition/eating-healthy,American Diabetes Association,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review,"No direct diagnosis, medication-stop instruction, or unsupported hard threshold detected by automated review; still requires human medical review.",,Source metadata is present and the chunk appears broadly aligned with its condition.,
rag_diabetes_005,diabetes,lifestyle,vi,"Quản lý cân nặng là một phần của chăm sóc đái tháo đường type 2 đối với nhiều người, nhưng cách thực hiện nên bền vững và không cực đoan. Những thay đổi nhỏ như giảm đồ uống ngọt, tăng rau, chọn khẩu phần tinh bột hợp lý, đi bộ đều đặn và ngủ đủ có thể hỗ trợ kiểm soát năng lượng nạp vào. Người đang dùng thuốc hạ đường huyết cần hỏi nhân viên y tế trước khi thay đổi mạnh chế độ ăn hoặc luyện tập để tránh rủi ro không mong muốn.",cdc_diabetes_meal_planning,Diabetes Meal Planning,https://www.cdc.gov/diabetes/healthy-eating/diabetes-meal-planning.html,CDC,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review,"No direct diagnosis, medication-stop instruction, or unsupported hard threshold detected by automated review; still requires human medical review.",,Source metadata is present and the chunk appears broadly aligned with its condition.,
rag_prediabetes_001,prediabetes,explanation,vi,"Tiền đái tháo đường là giai đoạn cảnh báo rằng đường huyết đã cao hơn bình thường nhưng chưa nhất thiết là đái tháo đường type 2. Đây là thời điểm phù hợp để tập trung vào thay đổi lối sống như ăn uống lành mạnh hơn, vận động thường xuyên hơn, ngủ và quản lý căng thẳng tốt hơn. Mục tiêu của bản nháp này là giải thích hướng hành động chung, không thay thế xét nghiệm, chẩn đoán hay kế hoạch điều trị từ bác sĩ.",cdc_prediabetes_lifestyle_change,About the Lifestyle Change Program,https://www.cdc.gov/diabetes-prevention/lifestyle-change-program/lifestyle-change-program-details.html,CDC,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review,Mentions diagnosis without a clear enough safety caveat. Mentions diagnosis without a clear enough safety caveat. Mentions diagnosis without a clear enough safety caveat.,,Source metadata is present and the chunk appears broadly aligned with its condition.,diagnosis_risk
rag_prediabetes_002,prediabetes,lifestyle,vi,"Với người được nhắc có nguy cơ tiền đái tháo đường, hoạt động thể lực và quản lý cân nặng thường được xem là hai trụ cột quan trọng. Người dùng có thể bắt đầu bằng lựa chọn vừa sức như đi bộ, tăng vận động trong sinh hoạt, giảm thời gian ngồi lâu và điều chỉnh khẩu phần ăn hằng ngày. Hệ thống chỉ nên gợi ý bước nhỏ, thực tế, có thể duy trì; mọi mục tiêu cụ thể cần được kiểm tra bởi nhân viên y tế, nhất là khi người dùng có bệnh nền hoặc dùng thuốc.",cdc_prevent_type2_guide,About On Your Way to Preventing Type 2 Diabetes,https://www.cdc.gov/diabetes/prevention-type-2/type-2-diabetes-prevention-guide.html,CDC,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review,"No direct diagnosis, medication-stop instruction, or unsupported hard threshold detected by automated review; still requires human medical review.",,Source metadata is present and the chunk appears broadly aligned with its condition.,
rag_prediabetes_003,prediabetes,explanation,vi,"Mục tiêu khi phát hiện tiền đái tháo đường là giảm nguy cơ tiến triển thành đái tháo đường type 2 thông qua những thay đổi có thể duy trì lâu dài. Điều này thường gồm ăn nhiều thực phẩm ít chế biến hơn, chọn đồ uống ít đường, tăng vận động, theo dõi cân nặng phù hợp và tái khám theo hẹn. Đây là nội dung giáo dục sức khỏe ở mức tổng quát; không nên dùng để kết luận nguy cơ cá nhân nếu chưa có kết quả xét nghiệm và đánh giá của bác sĩ.",cdc_prevent_type2_guide,About On Your Way to Preventing Type 2 Diabetes,https://www.cdc.gov/diabetes/prevention-type-2/type-2-diabetes-prevention-guide.html,CDC,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review,"No direct diagnosis, medication-stop instruction, or unsupported hard threshold detected by automated review; still requires human medical review.",,Source metadata is present and the chunk appears broadly aligned with its condition.,
rag_hypertension_001,hypertension,explanation,vi,"Natri trong muối và nhiều thực phẩm chế biến sẵn có liên quan đến huyết áp vì có thể làm cơ thể giữ nước nhiều hơn, từ đó tạo thêm áp lực lên hệ mạch. Với người tăng huyết áp, giảm vị mặn tổng thể trong khẩu phần là một hướng thường được khuyến nghị cùng với theo dõi huyết áp, vận động và dùng thuốc nếu được kê. Bản nháp này tránh nêu ngưỡng điều trị cụ thể; chuyên gia cần rà soát trước khi đưa vào câu trả lời RAG.",cdc_sodium_health,About Sodium and Health,https://www.cdc.gov/salt/about/index.html,CDC,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review,"No direct diagnosis, medication-stop instruction, or unsupported hard threshold detected by automated review; still requires human medical review.",,Source metadata is present and the chunk appears broadly aligned with its condition.,
rag_hypertension_002,hypertension,warning,vi,"Một phần lớn natri có thể đến từ thực phẩm đóng gói, đồ hộp, thịt chế biến, mì ăn liền, đồ ăn nhanh, snack mặn và các món đã nêm sẵn chứ không chỉ từ hũ muối trên bàn. Người bị tăng huyết áp nên được nhắc đọc nhãn dinh dưỡng, chú ý khẩu phần và giảm dần các lựa chọn quá mặn. Đây là cảnh báo dinh dưỡng chung, không phải chỉ định điều trị; người dùng có bệnh thận, tim mạch hoặc đang dùng thuốc cần hỏi bác sĩ về mức phù hợp.",aha_shaking_salt_habit,Shaking the Salt Habit to Lower High Blood Pressure,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/shaking-the-salt-habit-to-lower-high-blood-pressure,American Heart Association,Academic prototype draft. Text is paraphrased/summarized from the listed public health source; raw source is retained for traceability and the chunk requires human medical review.,needs_review,"No direct diagnosis, medication-stop instruction, or unsupported hard threshold detected by automated review; still requires human medical review.",Contains Vietnamese food/local habit examples; wording is plausible but requires human localization review. Contains Vietnamese food/local habit examples; wording is plausible but requires human localization review. Contains Vietnamese food/local habit examples; wording is plausible but requires human localization review.,Source metadata is present and the chunk appears broadly aligned with its condition.,
