chunk_id,condition_code,content,source_id
diabetes_t1_001,diabetes_type_1,"Đối với người mắc đái tháo đường type 1, nguyên tắc dinh dưỡng tổng quát nhấn mạnh việc phối hợp chặt chẽ giữa chế độ ăn uống, hoạt động thể lực và liều lượng insulin được tiêm vào cơ thể. Không có một chế độ ăn kiêng duy nhất cho tất cả mọi người, nhưng người đái tháo đường type 1 cần hướng tới các bữa ăn giàu đạm nạc, chất xơ và chất béo lành mạnh để kiểm soát đường huyết ổn định.",niddk_type1_diabetes
diabetes_t1_002,diabetes_type_1,"Nhận biết lượng carbohydrate là một kỹ năng thiết yếu đối với người bệnh đái tháo đường type 1. Vì carbohydrate ảnh hưởng trực tiếp và nhanh nhất đến mức đường huyết sau ăn, người đái tháo đường type 1 cần học cách đếm carbohydrate trong từng bữa ăn để tính toán liều insulin bolus (insulin trước bữa ăn) phù hợp theo hướng dẫn của bác sĩ.",ada_understanding_carbs
diabetes_t1_003,diabetes_type_1,Thời gian ăn uống và tính nhất quán của bữa ăn đóng vai trò rất quan trọng đối với người bệnh đái tháo đường type 1. Bỏ bữa hoặc ăn uống không đều đặn khi đang tiêm các loại insulin tác dụng kéo dài có thể dẫn đến nguy cơ hạ đường huyết nghiêm trọng. Người dùng nên duy trì thời gian ăn uống cố định và hỏi ý kiến nhân viên y tế nếu cần thay đổi lịch trình sinh hoạt.,niddk_diabetes_diet
diabetes_t1_005,diabetes_type_1,"Người bệnh đái tháo đường type 1 cần đặc biệt lưu ý an toàn khi hoạt động thể lực. Tập luyện thể dục thể thao làm tăng độ nhạy insulin và tiêu hao năng lượng, do đó có thể gây hạ đường huyết trong hoặc sau khi tập (kéo dài tới 24 giờ). Người dùng cần kiểm tra đường huyết trước khi tập và chuẩn bị sẵn carbohydrate tác dụng nhanh (như nước ngọt, kẹo) để xử lý kịp thời.",niddk_diabetes_diet
diabetes_t1_006,diabetes_type_1,"Nhận biết sớm các triệu chứng hạ đường huyết là vô cùng quan trọng đối với người bệnh đái tháo đường type 1. Hạ đường huyết (đường huyết dưới 70 mg/dL hoặc 3.9 mmol/L) có thể biểu hiện bằng cảm giác run rẩy, vã mồ hôi, tim đập nhanh, chóng mặt hoặc đói cồn cào. Khi gặp tình trạng này, người dùng cần áp dụng ngay quy tắc 15 (ăn 15g carbohydrate nhanh, đợi 15 phút và kiểm tra lại).",ada_understanding_carbs
diabetes_t1_008,diabetes_type_1,"Quyết định điều chỉnh liều lượng hoặc loại insulin cho người bệnh đái tháo đường type 1 phải được thực hiện bởi bác sĩ chuyên khoa hoặc nhân viên y tế có thẩm quyền. Người bệnh tuyệt đối không tự ý ngưng hoặc thay đổi liều insulin nền (basal) hay insulin bữa ăn (bolus) mà không có sự tham vấn lâm sàng, để tránh các biến chứng đe dọa tính mạng.",niddk_type1_diabetes
diabetes_t1_009,diabetes_type_1,"Người bệnh đái tháo đường type 1 cần tìm kiếm sự trợ giúp y tế khẩn cấp ngay lập tức nếu xuất hiện các triệu chứng của nhiễm toan ceton (buồn nôn, nôn mửa liên tục, hơi thở mùi trái cây, lú lẫn, thở nhanh, sâu) hoặc khi tình trạng hạ đường huyết nghiêm trọng không thể cải thiện sau khi áp dụng quy tắc 15 hoặc khi người bệnh bất tỉnh.",niddk_type1_diabetes
diabetes_t2_001,diabetes_type_2,"Đối với người mắc đái tháo đường type 2, nguyên tắc dinh dưỡng chủ đạo tập trung vào việc cải thiện độ nhạy insulin của cơ thể và hỗ trợ quản lý đường huyết lâu dài. Chế độ ăn uống lành mạnh nên ưu tiên các loại rau không tinh bột, ngũ cốc nguyên hạt, đạm nạc và hạn chế các chất béo bão hòa cùng các carbohydrate tinh chế để tránh làm tăng vọt đường huyết.",ada_eating_healthy
diabetes_t2_002,diabetes_type_2,"Chất lượng carbohydrate là yếu tố quyết định trong kế hoạch ăn uống của người bệnh đái tháo đường type 2. Người bệnh không cần cắt bỏ hoàn toàn carbohydrate, nhưng nên thay thế các loại carbohydrate tinh chế (như gạo trắng, bánh mì trắng, nước ngọt) bằng carbohydrate phức tạp giàu chất xơ (như gạo lứt, ngũ cốc nguyên hạt, các loại đậu) để làm chậm quá trình hấp thu glucose.",ada_understanding_carbs
diabetes_t2_003,diabetes_type_2,"Kiểm soát khẩu phần ăn bằng phương pháp đĩa thức ăn (Diabetes Plate Method) rất hữu ích cho người bệnh đái tháo đường type 2. Theo phương pháp này, đĩa ăn tiêu chuẩn (đường kính khoảng 23cm) nên được chia làm ba phần: một nửa đĩa dành cho các loại rau không chứa tinh bột, một phần tư dành cho đạm nạc (cá, thịt gà, đậu phụ) và một phần tư còn lại dành cho thực phẩm giàu tinh bột phức hợp.",cdc_diabetes_meal_planning
