dish_id,dish_name_vi,dish_name_en,dish_category,meal_type,region,serving_size_g,estimated_kcal,protein_g,fat_g,carb_g,fiber_g,sodium_mg,source,confidence_level,notes
DISH000001,Cơm tấm sườn,Broken rice with grilled pork chop,rice dishes,breakfast_lunch_dinner,South,450,722.5,29.95,25.96,91.08,0.48,118.2,ingredient_estimate,medium,Broken rice served with a sweet-savory grilled pork chop.
DISH000002,Cơm gà Hội An,Hoi An chicken rice,rice dishes,lunch_dinner,Central,400,754.2,25.08,31.71,92.23,0.55,495.9,ingredient_estimate,medium,Yellow-seasoned rice topped with shredded chicken and herbs.
DISH000003,Cơm chiên Dương Châu,Yangzhou fried rice,rice dishes,lunch_dinner,Nationwide,400,648.0,23.98,29.1,71.95,0.38,155.68,ingredient_estimate,medium,"Fried rice with mixed meats, eggs, and vegetables."
DISH000004,Cơm cá kho tộ,Steamed rice with braised fish,rice dishes,lunch_dinner,Nationwide,420,494.1,28.92,10.26,71.7,0.38,106.97,ingredient_estimate,high,White rice served with traditional Vietnamese claypot fish.
DISH000005,Cơm sườn bì chả,Broken rice combo with pork skin and egg meatloaf,rice dishes,breakfast_lunch_dinner,South,500,699.2,35.87,20.63,91.28,0.48,181.4,ingredient_estimate,medium,Signature broken rice combination plate.
DISH000006,Cơm trắng,Steamed white rice,rice dishes,lunch_dinner,Nationwide,200,260.0,5.98,0.76,57.36,0.3,38.54,ingredient_estimate,high,A standard single serving of plain cooked white rice.
DISH000007,Cơm tấm chả trứng,Broken rice with egg meatloaf,rice dishes,breakfast_lunch_dinner,South,380,614.9,28.29,14.92,91.48,0.48,204.7,ingredient_estimate,medium,Broken rice served with traditional steamed egg meatloaf.
DISH000008,Phở bò,Beef noodle soup,noodle/phở/bún dishes,breakfast_lunch_dinner,North,600,423.9,19.55,17.12,47.99,0.07,428.2,ingredient_estimate,medium,Traditional aromatic beef noodle soup.
DISH000009,Phở gà,Chicken noodle soup,noodle/phở/bún dishes,breakfast_lunch_dinner,North,600,441.5,20.03,18.88,47.99,0.07,433.8,ingredient_estimate,medium,Traditional chicken noodle soup with ginger and lime leaves.
DISH000010,Bún bò Huế,Hue spicy beef noodle soup,noodle/phở/bún dishes,breakfast_lunch_dinner,Central,650,462.2,25.74,21.23,41.12,0.8,319.2,ingredient_estimate,medium,Spicy lemongrass-infused beef and pork noodle soup.
DISH000011,Bún thịt nướng,Rice vermicelli with grilled pork,noodle/phở/bún dishes,breakfast_lunch_dinner,South,450,457.2,25.21,17.76,47.81,1.15,55.4,ingredient_estimate,medium,"Vermicelli bowl topped with grilled pork, peanuts, and fish sauce."
DISH000012,Bún riêu cua,Crab paste noodle soup,noodle/phở/bún dishes,breakfast_lunch_dinner,North,600,275.5,15.54,4.99,41.97,1.39,276.3,ingredient_estimate,high,Tangy tomato-crab broth with tofu and vermicelli.
DISH000013,Bún chả Hà Nội,Hanoi grilled pork vermicelli,noodle/phở/bún dishes,lunch_dinner,North,500,427.7,23.77,14.79,48.48,0.75,57.0,ingredient_estimate,medium,Charcoal-grilled pork patties in warm dipping fish sauce.
DISH000014,Bún mọc,Noodle soup with pork meatballs,noodle/phở/bún dishes,breakfast_lunch_dinner,North,550,302.5,23.42,4.82,41.12,2.49,0.85,ingredient_estimate,medium,Vermicelli with pork paste balls and mushrooms in clear broth.
DISH000015,Mì Quảng,Quang style flat noodles,noodle/phở/bún dishes,breakfast_lunch_dinner,Central,500,413.3,24.02,13.16,49.1,0.25,246.3,ingredient_estimate,medium,"Wide turmeric noodles served with pork, shrimp, and sesame cracker."
