example_id,query,condition_code,language,example_type,source_chunk_ids,review_status,notes
router_ckd_dialysis_001,Khuyến nghị về lượng kali đối với người bệnh chạy thận chu kỳ được tính toán như thế nào?,ckd_dialysis,vi,nutrition,ckd_dialysis_004,auto_validated,nutrition intent
router_ckd_dialysis_002,Khả năng đào thải nước và chất tan diễn ra liên tục ở người bệnh lọc màng bụng chu kỳ ra sao?,ckd_dialysis,vi,direct_condition,ckd_dialysis_009,auto_validated,explicit diagnosis
router_ckd_dialysis_003,Sự khác biệt về nguy cơ mất kali giữa các bệnh nhân chạy thận nhân tạo khác nhau?,ckd_dialysis,vi,symptom_context,ckd_dialysis_010,auto_validated,treatment context
router_ckd_dialysis_004,Các phương pháp điều trị thay thế thận bao gồm lọc màng bụng và chạy thận nhân tạo được thực hiện khi nào?,ckd_dialysis,vi,direct_condition,medquad_ckd_dialysis_001,auto_validated,explicit diagnosis
router_ckd_dialysis_005,Làm thế nào để cá nhân hóa lượng dịch uống cho người chạy thận dựa trên lượng nước tiểu còn lại và cân nặng khô?,ckd_dialysis,vi,measurement,medquad_ckd_dialysis_002,auto_validated,measurement context
router_ckd_dialysis_006,Tại sao phốt pho máu cao kéo dài ở người chạy thận lại gây ngứa da và làm yếu xương?,ckd_dialysis,vi,symptom_context,medquad_ckd_dialysis_004,auto_validated,treatment context
router_ckd_dialysis_007,Tại sao nhu cầu protein của người chạy thận nhân tạo lại cao hơn so với giai đoạn trước khi lọc máu?,ckd_dialysis,vi,nutrition,medquad_ckd_dialysis_005,auto_validated,nutrition intent
router_ckd_dialysis_008,Tại sao ăn nhiều muối natri lại làm tăng khát và gây quá tải tuần hoàn giữa các buổi chạy thận?,ckd_dialysis,vi,nutrition,medquad_ckd_dialysis_006,auto_validated,nutrition intent
router_ckd_dialysis_009,Quy trình sử dụng dịch lọc qua catheter vào ổ bụng để hấp thu chất thải trong lọc màng bụng?,ckd_dialysis,vi,direct_condition,medquad_ckd_dialysis_007,auto_validated,explicit diagnosis
router_ckd_dialysis_010,Các triệu chứng cảnh báo biến chứng viêm phúc mạc nguy hiểm ở bệnh nhân lọc màng bụng?,ckd_dialysis,vi,symptom_context,medquad_ckd_dialysis_008,auto_validated,treatment context
router_ckd_dialysis_011,Nguyên nhân gây ngứa da ở người đang chạy thận nhân tạo và các biện pháp giảm ngứa?,ckd_dialysis,vi,symptom_context,vihealthqa_ckd_dialysis_0001,auto_validated,treatment context
router_ckd_dialysis_012,Lọc màng bụng chu kỳ có ưu thế gì về chế độ ăn uống so với chạy thận nhân tạo?,ckd_dialysis,vi,nutrition,ckd_dialysis_009,auto_validated,nutrition intent
router_ckd_dialysis_013,Tại sao lượng dịch đưa vào cơ thể người chạy thận cần kiểm soát chặt chẽ dựa trên cân nặng khô?,ckd_dialysis,vi,measurement,medquad_ckd_dialysis_002,auto_validated,measurement context
